PROV2215;Lichiresti;;;;;;;;;;;;;;x
PROV2216;Teleorman;;;;;;;;;;;;;;x
PROV2217;Prahova;;;;;;;;;;;;;;x
PROV2218;Dlagopole;;;;;;;;;;;;;;x
PROV2219;Arges;;;;;;;;;;;;;;x
PROV2220;Olt;;;;;;;;;;;;;;x
PROV2221;Strehaia;;;;;;;;;;;;;;x
PROV2222;Caras;;;;;;;;;;;;;;x
PROV2223;Morava;;;;;;;;;;;;;;x
PROV2224;Svarlit;;;;;;;;;;;;;;x
PROV2225;Belogradchik;;;;;;;;;;;;;x
PROV2226;Boyanaayu;;;;;;;;;;;;;;x
PROV2227;Kopsis;;;;;;;;;;;;;;x
PROV2228;Boruy;;;;;;;;;;;;;;x
PROV2229;Kran;;;;;;;;;;;;;;x
PROV2230;Drastar;;;;;;;;;;;;;;x
PROV2231;Constanta;;;;;;;;;;;;;;x
PROV2232;Skopje;;;;;;;;;;;;;;x
PROV2233;Prosek;;;;;;;;;;;;;;x
PROV2234;Kotor;;;;;;;;;;;;;;x
PROV2235;Uzice;;;;;;;;;;;;;;x
PROV2236;Gradac;;;;;;;;;;;;;;x
PROV2237;Zica;;;;;;;;;;;;;;x
PROV2238;Pec;;;;;;;;;;;;;;x
PROV2239;Plav;;;;;;;;;;;;;;x
PROV2240;Skadar;;;;;;;;;;;;;;x
PROV2241;Ulcinj;;;;;;;;;;;;;;x
PROV2242;Knin;;;;;;;;;;;;;;x
PROV2243;Otocac;;;;;;;;;;;;;;x
PROV2244;Modrus;;;;;;;;;;;;;;x
PROV2245;Cilli;;;;;;;;;;;;;;x
PROV2246;Krapina;;;;;;;;;;;;;;x
PROV2247;Pset;;;;;;;;;;;;;;x
PROV2248;Lepenica;;;;;;;;;;;;;;x
PROV2249;Borac;;;;;;;;;;;;;;x
PROV2250;Krasso;;;;;;;;;;;;;;x
PROV2251;Veszprem;;;;;;;;;;;;;;x
PROV2252;Arad;;;;;;;;;;;;;;x
PROV2253;Ullo;;;;;;;;;;;;;;x
PROV2254;Nograd;;;;;;;;;;;;;;x
PROV2255;Bars;;;;;;;;;;;;;;x
PROV2256;Turco;;;;;;;;;;;;;;x
PROV2257;Zolyom;;;;;;;;;;;;;;x
PROV2258;Borsod;;;;;;;;;;;;;;x
PROV2259;Ung;;;;;;;;;;;;;;x
PROV2260;Covasna;;;;;;;;;;;;;;x
PROV2261;Mures;;;;;;;;;;;;;;x
PROV2262;Regen;;;;;;;;;;;;;;x
PROV2263;Des;;;;;;;;;;;;;;x
PROV2264;Kolosz;;;;;;;;;;;;;;x
PROV2265;Torda;;;;;;;;;;;;;;x
PROV2266;Kukollo;;;;;;;;;;;;;;x
PROV2267;Szeben;;;;;;;;;;;;;;x
PROV2268;Nagyselyk;;;;;;;;;;;;;;x
PROV2269;Zarand;;;;;;;;;;;;;;x
PROV2270;Zateca;;;;;;;;;;;;;;x
PROV2271;Falknov;;;;;;;;;;;;;;x
PROV2272;Tabor;;;;;;;;;;;;;;x
PROV2273;Pelhrimov;;;;;;;;;;;;;;x
PROV2274;Boleslava;;;;;;;;;;;;;;x
PROV2275;Bruntal;;;;;;;;;;;;;;x
PROV2276;Uherske;;;;;;;;;;;;;;x
PROV2277;Vltava;;;;;;;;;;;;;;x
PROV2278;Ricany;;;;;;;;;;;;;x
PROV2279;Gibraltar;;;;;;;;;;;;;x
PROV2280;Griki;;;;;;;;;;;;;x
