chinese_commander_trait_pick;Choose a Chinese Commander Trait;;;;;;;;;;x
chinese_commander_trait_pick_desc;Since we like to follow spiritual traditions, we will have to pick our way to an animal;;;;;;;;;;x
choose_chinese_commander_trait;You get to pick any of the Chinese Commander Traits like Way of the Tiger;;;;;;;;;;x

EVTDESC_CHN_100;Pick your Spirit Animal that you will bare for your whole life;;;;;;;;;;x

EVTOPTA_CHN_100;I am the Way of the Dog;;;;;;;;;;x
EVTOPTB_CHN_100;I am the Way of the Dragon;;;;;;;;;;x
EVTOPTC_CHN_100;I am the way of the Leopard;;;;;;;;;;x
EVTOPTD_CHN_100;I am the way of the Tiger;;;;;;;;;;x
