EMIR_TIMUR;Emir;;;;;;;;;;x
iron_khan;The Iron Khan;;;;;;;;;;x

surrender_holy_war;Surrendered to Holy War;;;;;;;;;x
surrender_holy_war_desc;This character has surrendered to a holy war.;;;;;;;;;x

adoptionist;Adoptionist;;;;;;;;;;;x
adoptionist_DESC;Adoptionism is a Christian theological belief that asserts Jesus Christ was born as a mere human and only later became divine, often suggested to be through an adoption or anointing by God.;;;;;;;;;;;x

reward_against_hre_rome;While on campaign against the §YHoly Roman Empire§!, your soldiers have brought you §Yriches§! and §!plunder§! that the Empire had to offer;;;;;;;;;x
reward_rome_hre;After the destruction of the §YHoly Roman Empire§! title, your soldiers will plunder the old §YImperial Capital§! and the lands around the route back to §YRome§!;;;;;;;;;x

EVTDESC_REI_001;We have gathered the people arround this province, ready to fight in arms;;;;;;;;;;x

rome_move_capital;The capital will be moved to §YRoma§!;;;;;;;;;x
reforming_legion_italia;A §YLegion§! that will only serve you will appear in §YRome§! as Mercenaries;;;;;;;;;x

conflict_hre_rome;You will send an envoy to the Capital of the §YHoly Roman Empire§! and demand the disolution of their pretentious Empire;;;;;;;;;x
conflict_byz_rome;You will visit the Capital of the §YEastern Roman Empire§! to discuss matters of two Roman Empires exsisting with the §YEastern Roman Empire§!;;;;;;;;;x
warning_revolting_clan;§RYour Nomadic title will be destroyed by the Revolting Clan and ends the game for you.§!;;;;;;;;;x

byz_rashudin_ortho;The Eastern Roman Empire will install a Orthodox Arabic Kingdom and dismantle the Caliphate;;;;;;;;;;;x

making_swiss_guard;The §YSwiss Guard§! will be formed and only at your service;;;;;;;;;;;;;x

otto_won_dejure;You will restore the old De-Jure borders of Germany and destroy the other German Kingdom De-Jures;;;;;;;;;;;x

preperation_form_dutch;You, along your courtiers inside the Dutch Capital will decide to either become a Feudal Kingdom or a Merchant Republic;;;;;;;;;;x

dutch_kingdom_retinue;You will have access to a special Retinue type;;;;;;;;;;x

tooltip_religion_feature_slavic_2;§GGet access to §Y+1 Demesne§G and §Y+10% Tax Modifier§G.§!;;;;;;;;;;;;;x
tooltip_religion_feature_baltic_2;§GGet access to §Y-1 Demesne§G in return for §YReligious Tax§G and §Y+15% Tax Modifier§G.§!;;;;;;;;;;;;;x
tooltip_religion_feature_finnish_2;§GWarrios of this faith will get §Y15% Offensive §Gand §Y25% Defensive capabilities globally.§!;;;;;;;;;;;;;x
became_anglo_norse_tt;You and your children will embrace Anglo-Norse culture \n§YGet access to special Danegeld tributary§!;;;;;;;;;;;;;x
stayed_norse_tt;Stay Norse \n§RYou will NEVER get another oppertunity to go Anglo-Norse!!!§!;;;;;;;;;;;;;x
