EVTNAMEYUG.100;The Formation of Yugoslavia;;;;;;;;;;;;;;x
EVTDESCYUG.100;It seems that at last, The many kingdoms in the Southern Slavic lands have united under one banner and formed the Empire of Yugoslavia. This will surely be a concerning issue for those that have interest in domineering the balkan lands. Only time will tell what this new empire will do next;;;;;;;;;;;;;;x

form_yugoslavia;Form Yugoslavia;;;;;;;;;;;;;;x
form_yugoslavia_desc;For long, ever since the dissolution of the Bulgarian and Serbian Empire. Our beloved land has been a laughing stock and a joke, conquered by many empires. However, this will stop now. It is time to Unite our banners under the Empire of Yugoslavia;;;;;;;;;;;;;;x

yugoslavia_integrate_epirus;Integrate Epirus;;;;;;;;;;;;;;x
yugoslavia_integrate_epirus_desc;We have to expand our influence and integrate the slavic people of Epirus into the Empire of Yugoslavia;;;;;;;;;;;;;;x

yugoslavia_integrate_dacia;Integrate Dacia;;;;;;;;;;;;;;x
yugoslavia_integrate_dacia_desc;We have to expand our influence and integrate the slavic people of Dacia into the Empire of Yugoslavia;;;;;;;;;;;;;;x

EVTNAMEYUG.001;The Faith of the Empire;;;;;;;;;;;;;;x
EVTDESCYUG.001;Now that the Empire of Yugoslavia is formed, we will have to reform our stance on religion and have all of our subjects convert to our faith. Shall we start by sending out the envoys?;;;;;;;;;;;;;;x
	
EVTNAMEYUG.002;The Yugoslavian Envoy;;;;;;;;;;;;;;x
EVTDESCYUG.002; My Liege, we have recieved news that the Emperor of Yugoslavia has decreed a new reform in which we are obliged to convert our religion to that of our Liege's. The Envoy is awaiting your response. What shall we answer?;;;;;;;;;;;;;;x

belgrad_move_capital;Belgrad will be the new capital of the Yugoslavian Empire;;;;;;;;;;;;;;x

yugoslav_blood;Blood of the Balkan Unifier
yugoslav_blood_desc;This Character has conquered and united the Balkans under the Empire of Yugoslavia;;;;;;;;;;;;;;x
