#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Mayor of the Palace
title_mayor_of_the_palace;Mayor Palatine;;;;;;;;;;;;;x
title_mayor_of_the_palace_desc;The Mayor Palatine, or Mayor of the Palace, is a high office in old Frankish royal realms. The Mayor Palatine can join factions freely, even if on the council. He will gain an uninheritable weak claim on the primary title upon succession.;;;;;;;;;;;;;x
mayor_of_the_palace;Mayors of the Palace;;;;;;;;;;;;;x
mayor_of_the_palace_0;Mayoralty Abolished;;;;;;;;;;;;;x
mayor_of_the_palace_0_option;Abolish;;;;;;;;;;;;;x
mayor_of_the_palace_0_desc;The Palace Mayoralty is abolished.\n;;;;;;;;;;;;;x
mayor_of_the_palace_1_option;Advisory;;;;;;;;;;;;;x
mayor_of_the_palace_1;Advisory Mayoralty;;;;;;;;;;;;;x
mayor_of_the_palace_1_desc;The Mayor Palatine is a member of the council and designated regent, capable of increased factionalism. He will get a weak claim to your primary title on succession.\n;;;;;;;;;;;;;x
mayor_of_the_palace_2;Mayoral Regency;;;;;;;;;;;;;x
mayor_of_the_palace_2_option;Regency;;;;;;;;;;;;;x
mayor_of_the_palace_2_desc;The Mayor Palatine acts as regent to a figurehead monarch.\n;;;;;;;;;;;;;x
plot_reclaim_mayor_authority;Reclaim Royal Authority;;;;;;;;;;;;x
plot_reclaim_mayor_authority_title;Reclaim Royal Authority;;;;;;;;;;;;x
plot_reclaim_mayor_authority_desc;[From.GetTitledFirstName] has decided it is time to reclaim true power to rule in [From.PrimaryTitle.GetBaseName]. Once [From.GetSheHe] has enough backing, [From.GetSheHe] can present an ultimatum to [Root.GetTitledName].;;;;;;;;;;;;;x
plot_reclaim_mayor_authority_decision;Assert Royal Authority;;;;;;;;;;;;x
plot_reclaim_mayor_authority_decision_tooltip;Move against the Mayor Palatine in order to regain control of the throne...;;;;;;;;;;;;x
plot_reclaim_mayor_authority_tooltip;Denounce the Mayoral Regency and claim the right to rule as solely a Royal prerogative, supported by a large portion of your court.;;;;;;;;;;;;x
plot_reclaim_mayor_authority_decision_desc;Denounce the Mayoral Regency and claim the right to rule as solely a Royal prerogative, supported by a large portion of your court.;;;;;;;;;;;;x
plot_reclaim_mayor_authority_short;Reclaim Royal Authority;;;;;;;;;;;;x
bloodline_effect_mayor_of_the_palace;Unlocks §GMayor of the Palace§! laws for all cultures;;;;;;;;;;;;;x
culture_effect_mayor_of_the_palace;Enables §GMayor of the Palace§! laws;;;;;;;;;;;;;x
Mod.DESC810;For years [Root.Liege.Regent.GetTitledFirstName] has unlawfully ruled. Perhaps [Root.Liege.Regent.GetHerHis] presence in [Root.Location.GetName] will present us an opportunity to change that...;;;;;;;;;;;;;x
Mod.810EVTOPTA;I need to come up with a plan;;;;;;;;;;;;x
Mod.DESC811;For years [Root.Liege.Regent.GetTitledName] has held [Root.Liege.GetTitledFirstName]'s power and ruled in [Root.Liege.GetHerHis] stead. But I have an ingenious plan to rectify the situation...;;;;;;;;;;;;;x
Mod.811EVTOPTA;...Or perhaps not.;;;;;;;;;;;;;x
Mod.811EVTOPTB;Persuade [Root.Liege.Regent.GetHerHim] to step aside;;;;;;;;;;;;;x
Mod.811EVTOPTC;Challenge [Root.Liege.Regent.GetHerHim] to duel for the throne!;;;;;;;;;;;;;x
Mod.811EVTOPTD;Let's kill [Root.Liege.Regent.GetHerHim] in [Root.Liege.Regent.GetHerHis] sleep!;;;;;;;;;;;;;x
Mod.811EVTOPTE;It is [Root.Liege.GetTitledFirstName]'s Divine Right!;;;;;;;;;;;;;x
