#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x;
PROV1995;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV1996;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV1997;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV1998;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV1999;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV2000;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV2008;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV2009;Nile;Nil;Nil;;Nilo;;;;;;;;x;
PROV2010;Atbarah;Atbara;Atbara;;Atbara;;;;;;;;x;
PROV2011;Atbarah;Atbara;Atbara;;Atbara;;;;;;;;x;
PROV2015;Ebro;Ebre;Ebro;;Ebro;;;;;;;;x;
PROV2016;Ebro;Ebre;Ebro;;Ebro;;;;;;;;x;
PROV2017;Ebro;Ebre;Ebro;;Ebro;;;;;;;;x;
PROV2018;Tagus;Tage;Tajo;;Tajo;;;;;;;;x;
PROV2019;Tagus;Tage;Tajo;;Tajo;;;;;;;;x;
PROV2020;Tagus;Tage;Tajo;;Tajo;;;;;;;;x;
PROV2021;Rhone;Rhone;Rhone;;Rodano;;;;;;;;x;
PROV2022;Rhone;Rhone;Rhone;;Rodano;;;;;;;;x;
PROV2023;Rhone;Rhone;Rhone;;Rodano;;;;;;;;x;
PROV2024;Po;Po;Po;;Po;;;;;;;;x;
PROV2025;Po;Po;Po;;Po;;;;;;;;x;
PROV2026;Po;Po;Po;;Po;;;;;;;;x;
PROV2027;Oder;Oder;Oder;;Oder;;;;;;;;x;
PROV2028;Oder;Oder;Oder;;Oder;;;;;;;;x;
PROV2029;Oder;Oder;Oder;;Oder;;;;;;;;x;
PROV2030;Oder;Oder;Oder;;Oder;;;;;;;;x;
PROV2031;Loire;Loire;Loire;;Loira;;;;;;;;x;
PROV2032;Loire;Loire;Loire;;Loira;;;;;;;;x;
PROV2033;al-Wadi al-Kabir;al-Wadi al-Kabir;al-Wadi al-Kabir;;al-Wadi al-Kabir;;;;;;;;x;
PROV2034;al-Wadi al-Kabir;al-Wadi al-Kabir;al-Wadi al-Kabir;;al-Wadi al-Kabir;;;;;;;;x;
PROV2035;Guadiana;Guadiana;Guadiana;;Guadiana;;;;;;;;x;
PROV2036;Guadiana;Guadiana;Guadiana;;Guadiana;;;;;;;;x;
PROV2037;Seine;Seine;Seine;;Sena;;;;;;;;x;
PROV2038;Seine;Seine;Seine;;Sena;;;;;;;;x;
PROV2039;Rhine;Rhin;Rhein;;Rin;;;;;;;;x;
PROV2040;Rhine;Rhin;Rhein;;Rin;;;;;;;;x;
PROV2041;Douro;Douro;Douro;;Douro;;;;;;;;x;
PROV2042;Douro;Douro;Douro;;Douro;;;;;;;;x;
PROV2043;Thames;Tamise;Themse;;Tamesis;;;;;;;;x;
PROV2044;Meuse;Meuse;Maas;;Mosa;;;;;;;;x;
PROV2045;Meuse;Meuse;Maas;;Mosa;;;;;;;;x;
PROV2046;Meuse;Meuse;Maas;;Mosa;;;;;;;;x;
PROV2047;Glomma;Glomma;Glomma;;Glomma;;;;;;;;x;
PROV2048;Dvina;Dvina;Dwina;;Dvina;;;;;;;;x;
PROV2049;Dvina;Dvina;Dwina;;Dvina;;;;;;;;x;
PROV2050;Dvina;Dvina;Dwina;;Dvina;;;;;;;;x;
PROV2051;Drava;Drave;Drau;;Drava;;;;;;;;x;
PROV2052;Drava;Drave;Drau;;Drava;;;;;;;;x;
PROV2053;Olt;Olt;Olt;;Olt;;;;;;;;x;
PROV2054;Neman;Niemen;Memel;;Niemen;;;;;;;;x;
PROV2055;Neman;Niemen;Memel;;Niemen;;;;;;;;x;
PROV2056;Gota Alv;Gota Alv;Gota Alv;;Gota Alv;;;;;;;;x;
PROV2057;Narva;Narva;Narva;;Narva;;;;;;;;x;
PROV2058;Arno;Arno;Arno;;Arno;;;;;;;;x;
PROV2059;Sava;Sava;Sava;;Sava;;;;;;;;x;
PROV2060;Sava;Sava;Sava;;Sava;;;;;;;;x;
PROV2061;Sava;Sava;Sava;;Sava;;;;;;;;x;
PROV2062;Ural;Oural;Ural;;Ural;;;;;;;;x;
PROV2063;Ural;Oural;Ural;;Ural;;;;;;;;x;
PROV2064;Ural;Oural;Ural;;Ural;;;;;;;;x;
PROV2065;Shatt al-Arab;Chatt-el-Arab;Schatt al-Arab;;Shatt al-Arab;;;;;;;;x;
PROV2066;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x;
PROV2067;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x;
PROV2068;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x;
PROV2069;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x;
PROV2070;Euphrates;Euphrate;Euphrat;;Eufrates;;;;;;;;x;
PROV2071;Euphrates;Euphrate;Euphrat;;Eufrates;;;;;;;;x;
PROV2072;Euphrates;Euphrate;Euphrat;;Eufrates;;;;;;;;x;
PROV2073;Euphrates;Euphrate;Euphrat;;Eufrates;;;;;;;;x;
PROV2074;Euphrates;Euphrate;Euphrat;;Eufrates;;;;;;;;x;
PROV2075;Narmada;Narmada;Narmada;;Narmada;;;;;;;;x;
PROV2076;Narmada;Narmada;Narmada;;Narmada;;;;;;;;x;
PROV2077;Narmada;Narmada;Narmada;;Narmada;;;;;;;;x;
PROV2078;Narmada;Narmada;Narmada;;Narmada;;;;;;;;x;
PROV2079;Narmada;Narmada;Narmada;;Narmada;;;;;;;;x;
PROV2080;Krishna;Krishna;Krishna;;Krishna;;;;;;;;x;
PROV2081;Krishna;Krishna;Krishna;;Krishna;;;;;;;;x;
PROV2082;Krishna;Krishna;Krishna;;Krishna;;;;;;;;x;
PROV2083;Krishna;Krishna;Krishna;;Krishna;;;;;;;;x;
PROV2084;Krishna;Krishna;Krishna;;Krishna;;;;;;;;x;
PROV2085;Bhima;Bhima;Bhima;;Bhima;;;;;;;;x;
PROV2086;Tungabhadra;Tungabhadra;Tungabhadra;;Tungabhadra;;;;;;;;x;
PROV2087;Tungabhadra;Tungabhadra;Tungabhadra;;Tungabhadra;;;;;;;;x;
PROV2088;Godavari;Godavari;Godavari;;Godavari;;;;;;;;x;
PROV2089;Godavari;Godavari;Godavari;;Godavari;;;;;;;;x;
PROV2090;Godavari;Godavari;Godavari;;Godavari;;;;;;;;x;
PROV2091;Godavari;Godavari;Godavari;;Godavari;;;;;;;;x;
PROV2092;Indravati;Indravati;Indravati;;Indravati;;;;;;;;x;
PROV2093;Mahanadi;Mahanadi;Mahanadi;;Mahanadi;;;;;;;;x;
PROV2094;Mahanadi;Mahanadi;Mahanadi;;Mahanadi;;;;;;;;x;
PROV2095;Mahanadi;Mahanadi;Mahanadi;;Mahanadi;;;;;;;;x;
PROV2096;Amu Darya;Amu Darya;Amu Darya;;Amu Darya;;;;;;;;x;
PROV2097;Amu Darya;Amu Darya;Amu Darya;;Amu Darya;;;;;;;;x;
PROV2098;Amu Darya;Amu Darya;Amu Darya;;Amu Darya;;;;;;;;x;
PROV2099;Amu Darya;Amu Darya;Amu Darya;;Amu Darya;;;;;;;;x;
PROV2100;Weser;Weser;Weser;;Weser;;;;;;;;x;
PROV2101;Weser;Weser;Weser;;Weser;;;;;;;;x;
PROV2102;Uzboy;Uzboy;Uzboy;;Uzboy;;;;;;;;x;
PROV2103;Yobe;Yobe;Yobe;;Yobe;;;;;;;;x;
PROV2104;Yobe;Yobe;Yobe;;Yobe;;;;;;;;x;
PROV2105;Chari;Chari;Schari;;Chari;;;;;;;;x;
PROV2106;Saale;Saale;Saale;;Saale;;;;;;;;x;
PROV2107;Bug;Boug;Bug;;Bug;;;;;;;;x;
PROV2108;Kama;Kama;Kama;;Kama;;;;;;;;x;
PROV2109;Pechora;Petchora;Petschora;;Pechora;;;;;;;;x;
PROV2110;Pechora;Petchora;Petschora;;Pechora;;;;;;;;x;
PROV2111;Pechora;Petchora;Petschora;;Pechora;;;;;;;;x;
PROV2112;Pechora;Petchora;Petschora;;Pechora;;;;;;;;x;
PROV2113;Moselle;Moselle;Mosel;;Mosela;;;;;;;;x;
PROV2114;Moselle;Moselle;Mosel;;Mosela;;;;;;;;x;
PROV2115;Son;Son;Son;;Son;;;;;;;;x;
PROV2116;Son;Son;Son;;Son;;;;;;;;x;
PROV2117;Yamuna;Yamuna;Yamuna;;Yamuna;;;;;;;;x;
PROV2118;Yamuna;Yamuna;Yamuna;;Yamuna;;;;;;;;x;
PROV2119;Betwa;Betwa;Betwa;;Betwa;;;;;;;;x;
PROV2120;Chamba;Chamba;Chamba;;Chamba;;;;;;;;x;
PROV2121;Chamba;Chamba;Chamba;;Chamba;;;;;;;;x;
PROV2122;Chamba;Chamba;Chamba;;Chamba;;;;;;;;x;
PROV2123;Wardha;Wardha;Wardha;;Wardha;;;;;;;;x;
PROV2124;Wardha;Wardha;Wardha;;Wardha;;;;;;;;x;
PROV2125;Oise;Oise;Oise;;Oise;;;;;;;;x;
PROV2126;Oise;Oise;Oise;;Oise;;;;;;;;x;
PROV2127;Ems;Ems;Ems;;Ems;;;;;;;;x;
PROV2128;Ems;Ems;Ems;;Ems;;;;;;;;x;
PROV2129;Siret;Siret;Sereth;;Siret;;;;;;;;x;
PROV2130;Buh;Boug;Bug;;Buh;;;;;;;;x;
PROV2131;Buh;Boug;Bug;;Buh;;;;;;;;x;
PROV2132;Morava;Morava;March;;Morava;;;;;;;;x;
PROV2133;Canal of the Pharaohs;Canal des Pharaons;Bubastis-Kanal;;Canal de los Faraones;;;;;;;;x;
family_palace_baron_east_slavic;Boyar;Boyard;Bojaren;;Boyardo;;;;;;;;;x
family_palace_baron_female_east_slavic;Bojarynja;Bojarynja;Bojarynja;;Bojarynja;;;;;;;;;x
city_duke_east_slavic;Posadnik;Possadnik;Posadnik;;Posadnik;;;;;;;;;x
city_duke_east_female_slavic;Posadnikynja;Possadnikynja;Posadnikynja;;Posadnikynja;;;;;;;;;x
city_king_east_slavic;Grand Posadnik;Posadnik Grandiose;Großartig Posadnik;;Posadnik Grandioso;;;;;;;;;x
city_king_female_east_slavic;Grand Posadnikynja;Posadnikynja Grandiose;Großartig Posadnikynja;;Posadnikynja Sereno;;;;;;;;;x
city_Duke_foa_east_slavic;Your Posadnik;Votre Posadnik;Euer Posadnik;;Su Posadnik;;;;;;;;;x
city_Duke_foa_female_east_slavic;Your Posadnikynja;Votre Posadnikynja;Euer Posadnikynja;;Su Posadnikynja;;;;;;;;;x
city_king_foa_east_slavic;Your Grand Posadnik;Votre Posadnik Grandiose;Euer Großartig Posadnik;;Su Gran Posadnik;;;;;;;;;x
city_king_foa_female_east_slavic;Your Grand Posadnikynja;Votre Posadnikynja Grandiose;Euer Großartig Posadnikynja;;Su Gran Posadnikynja;;;;;;;;;x
PROV1101;Beloye;Beloie;Weisser;;Beloye;;;;;;;;x;
