CB_NAME_CLIENT_TRIBUTARY;Establish Client State;;;;;;;;;x
WAR_NAME_CLIENT_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Make $DEFENDER$ a Client State;;;;;;;;;;x
tributary_client_cb_desc;$TARGET$ is weak. This is a great oppertunity to make them submit their wealth and their army to you!;;;;;;;;;x

TRIBUTARY_CLIENT_NAME;Client State;;;;;;;;;x
TRIBUTARY_CLIENT_PLURAL;Client States;;;;;;;;;;x
SUZERAIN_CLIENT_NAME;Client Suzerain;;;;;;;;;;x
TRIBUTARY_CLIENT_TRIBUTE;Client State;;;;;;;;;x

TRIBUTARY_CONFEDERATE_NAME;Confederate Realm;;;;;;;;;x
TRIBUTARY_CONFEDERATE_PLURAL;Confederate Realms;;;;;;;;;x
SUZERAIN_CONFEDERATE_NAME;Confederate Ruler;;;;;;;;;x
TRIBUTARY_CONFEDERATE_TRIBUTE;Confederate Realm;;;;;;;;;x

CB_NAME_FREE_AR_TRIBUTARY;Free Confederate Realm;;;;;;;;;x
WAR_NAME_FREE_AR_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Free $ATTACKER$ from Suzerain;;;;;;;;;;x
