#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
PROV2062;Nile;Nil;Nil;;Nilo;;;;;;;;x
PROV2063;Canal of the Pharaohs;Canal des Pharaons;Bubastis-Kanal;;Canal de los Faraones;;;;;;;;x
PROV2064;Nile;Nil;Nil;;Nilo;;;;;;;;x
PROV2065;Nile;Nil;Nil;;Nilo;;;;;;;;x
PROV2066;Nile;Nil;Nil;;Nilo;;;;;;;;x
PROV2067;Shatt al-Arab;Chatt-el-Arab;Schatt al-Arab;;Shatt al-Arab;;;;;;;;x
PROV2068;Choaspes;Choaspes;Choaspes;;Choaspes;;;;;;;;x
PROV2069;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x
PROV2070;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x
PROV2071;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x
PROV2072;Tigris;Tigre;Tigris;;Tigris;;;;;;;;x
PROV2073;Euphrates;Euphrate;Euphrat;;Éufrates;;;;;;;;x
PROV2074;Euphrates;Euphrate;Euphrat;;Éufrates;;;;;;;;x
PROV2075;Euphrates;Euphrate;Euphrat;;Éufrates;;;;;;;;x
PROV2076;Euphrates;Euphrate;Euphrat;;Éufrates;;;;;;;;x
PROV2077;Euphrates;Euphrate;Euphrat;;Éufrates;;;;;;;;x
PROV2078;Euphrates;Euphrate;Euphrat;;Éufrates;;;;;;;;x
PROV2079;Khabour;Khabour;Khabour;;Khabour;;;;;;;;x
PROV2080;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2081;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2082;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2083;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2084;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2085;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2086;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2087;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2088;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2089;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2090;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2091;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2092;Danube;Danube;Donau;;Danubio;;;;;;;;x
PROV2093;Olt;Olt;Olt;;Olt;;;;;;;;x
PROV2094;Sava;Sava;Sava;;Sava;;;;;;;;x
PROV2095;Sava;Sava;Sava;;Sava;;;;;;;;x
PROV2096;Sava;Sava;Sava;;Sava;;;;;;;;x
PROV2097;Tisza;Tisza;Theiss;;Tisza;;;;;;;;x
PROV2098;Tisza;Tisza;Theiss;;Tisza;;;;;;;;x
PROV2099;Drava;Drave;Drau;;Drava;;;;;;;;x
PROV2100;Drava;Drave;Drau;;Drava;;;;;;;;x
PROV2101;Elbe;Elbe;Elbe;;Elba;;;;;;;;x
PROV2102;Elbe;Elbe;Elbe;;Elba;;;;;;;;x
PROV2103;Elbe;Elbe;Elbe;;Elba;;;;;;;;x
PROV2104;Elbe;Elbe;Elbe;;Elba;;;;;;;;x
PROV2105;Havel;Havel;Havel;;Havel;;;;;;;;x
PROV2106;Saale;Saale;Saale;;Saale;;;;;;;;x
PROV2107;Saale;Saale;Saale;;Saale;;;;;;;;x
PROV2108;Oder;Oder;Oder;;Odra ;;;;;;;;x
PROV2109;Oder;Oder;Oder;;Odra ;;;;;;;;x
PROV2110;Oder;Oder;Oder;;Odra ;;;;;;;;x
PROV2111;Vistula;Vistule;Weichsel;;Vístula;;;;;;;;x
PROV2112;Vistula;Vistule;Weichsel;;Vístula;;;;;;;;x
PROV2113;Vistula;Vistule;Weichsel;;Vístula;;;;;;;;x
PROV2114;Vistula;Vistule;Weichsel;;Vístula;;;;;;;;x
PROV2115;Neman;Niemen;Memel;;Niemen;;;;;;;;x
PROV2116;Neman;Niemen;Memel;;Niemen;;;;;;;;x
PROV2117;Neman;Niemen;Memel;;Niemen;;;;;;;;x
PROV2118;Po;Po;Po;;Po;;;;;;;;x
PROV2119;Po;Po;Po;;Po;;;;;;;;x
PROV2120;Po;Po;Po;;Po;;;;;;;;x
PROV2121;Po;Po;Po;;Po;;;;;;;;x
