#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,
EVTDESCARP.98800;A great warrior,Árpád,has distinguished himself in many battles and raids. I believe this man could be a valuable Commander and a competent military leader.;;;;;;;;;x,
EVTOPTAARP.98800;He could lead our people to greatness.;;;;;;;;;x,,,
EVTDESCARP.98801;My people deserve a secure location in which to resettle and the lands of the Pannonian basin provide for such an expanse of opportunity for this very purpose. If I lead a band of loyal Magyars, we can conquer the land for our people.;;;;;;;;;x,,
EVTOPTAARP.98801;Esztergom is best!.;;;;;;;;;x,,,
EVTOPTBARP.98801;Pest seems natural.;;;;;;;;;x,,,
EVTOPTCARP.98801;Bihar is rich and weak.;;;;;;;;;x,,,
EVTDESCARP.98804;I have fought long and hard for my Khan and I have attracted a large,yet loyal,following. Rather than rise up against my old liege,I've decided to strike out for [From.Duchy.GetFullBaseName]. Let [From.Holder.TopLiege.GetTitledFirstName] tremble in fear!;;;;;;;;;x
EVTOPTAARP.98804;Prepare the boats!;;;;;;;;;x,,,
EVTDESCARP.98805;One of the most capable warriors in the realm, Arpad, has gathered a large following of men and has set out declaring his intention to establish lands of his own in the Pannonian Basin.;;;;;;;;;x,
EVTOPTAARP.98805;May he bring glory to his Horde!;;;;;;;;;x,,,
EVTNAMEARP.98806;The Hungarian Magyars;;;;;;;;;x,,,
EVTDESCARP.98806;In Eastern Europe, a great Nomadic warrior, Arpad, has invaded the Pannonian Basin west of the Carpathian mountains and has seized land for himself and his Magyar Horde. Magyar activity along these shores is not unheard of but Arpad's conquest of Pannonia will be marked as the foundation of a new Magyar Kingdom within Eastern Europe.;;;;;;;;;x
EVTOPTAARP.98806;I want what is best for my people.;;;;;;;;;x,,,
EVTOPTBARP.98806;He is an inspiration to all Magyars!;;;;;;;;;x,,,
EVTOPTCARP.98806;These Nomads get everywhere.;;;;;;;;;x,,,
EVTOPTDARP.98806;I will lead the Magyars to glory!;;;;;;;;;x,,,
switch_to_arpad_TT;Switch to play as Arpad and lead the Magyars in the Pannonian Basin.;;;;;;;;;x,,,
