# Decisions

# Events

NW_GetRegionNameKey;"[Root:selected_nw_region.GetName]";;;;;;;;;;;;x

#Tooltips

NORTH_AMERICA_TT;North America\nEastern Seaboard, Louisiana, Canada, Vinland;;;;;;;;;;;;x
CENTRAL_AMERICA_TT;Central America\nMexico, Maya, Honduras-Panama, Rio Grande;;;;;;;;;;;;;;;x
CARRIBEAN_TT;Carribean\nCuba, Jamaica, Hispaniola, Carribean Islands;;;;;;;;;;;;;;;
SOUTH_AMERICA_TT;South America\nBrasil, Gran Colombia, Peru-Bolivia, La Plata;;;;;;;;;;;;;;;
VINLAND_TT;Vinland\nVinland & Quebec\n§YClick to view region statistics and information§!;;;;;;;;;;;;;;;
CANADA_TT;Canada\nOntario & New England\n§YClick to view region statistics and information§!;;;;;;;;;;;;;;;
SEABOARD_TT;Eastern Seaboard\nEastern Seaboard & Appalachia\n§YClick to view region statistics and information§!;;;;;;;;;;;;;;;
LOUISIANA_TT;Louisiana\nLouisiana & the Mississippi\n§YClick to view region statistics and information§!;;;;;;;;;;;;;;;

# Titles

TITLE_COLONY;Colony;;;;;;;;;;;;;;;x
TITLE_MALE_COLONY;Colonist;;;;;;;;;;;;;;;x
FOA_COLONIST;My Colonist;;;;;;;;;;;;;;;x

d_vinland;Vinland;;;;;;;;;;;;;;;x
d_vinland_adj;Vinlander;;;;;;;;;;;;x

# Modifiers



# Traits



# Misc
