ar_republic_boon;Grant Republican Boon;;;;;;;;;;;x
ar_republic_boon_desc;Expand the infrastructure of this province by giving them extra fundings and boons which is able thanks to the Republic Administration;;;;;;;;;;;x
ar_republic_bonus;Republican Boon;;;;;;;;;;;x

ar_theocracy_convert;Convert Heretic County;;;;;;;;;;;x
ar_theocracy_convert_desc;Convert this Province which does not follow the true faith;;;;;;;;;;;x

ar_theocracy_bless;Grant Theocratic Blessing;;;;;;;;;;;x
ar_theocracy_bless_desc;Bless and teach this character to be a better person;;;;;;;;;;;x

become_feudal;Reorganize into Feudalism;;;;;;;;;;;x
become_feudal_desc;The time of Theocracies and Republics are over for our nation, it is time to convert our administration to Feudalism;;;;;;;;;;;x
