old_arabic;Arabi;;;;;;;;;;x
hunnic;Hunnu;;;;;;;;;;x
sciri;Skiroz;;;;;;;;;;x
numidian;Numidya;;;;;;;;;;x
vandal;Wandaloz;;;;;;;;;;x
punic;Ponim;;;;;;;;;;x
new_celtic;Gaeilge;;;;;;;;;;x
roman_gallo;Gallo-Romanus;;;;;;;;;;x
roman_spain;Hispano-Romanus;;;;;;;;;;x
roman_ilyrian;Illyro-Romanus;;;;;;;;;;x
roman_african;Afro-Romanus;;;;;;;;;;x
roman_mauretanian;Mauris-Romanus;;;;;;;;;;x
roman_british;Britanno-Romanus;;;;;;;;;;x
roman_thraco;Thraco-Romanus;;;;;;;;;;x
roman_german;Germanica-Romanus;;;;;;;;;;x
roman_greek;Graeco-Romanus;;;;;;;;;;x
roman_egyptian;Aegyptio-Romanus;;;;;;;;;;x
ilyrian;Illyrioi;;;;;;;;;;x
old_parthian;Parthava;;;;;;;;;;x
burgundian;Burgundii;;;;;;;;;;x
