PROV2135;Mures;;;;;;;;;;;;x
PROV2136;Covasna;;;;;;;;;;;;x
PROV2137;Des;;;;;;;;;;;;x
PROV2138;Kolosz;;;;;;;;;;;;x
PROV2139;Szeben;;;;;;;;;;;;x
PROV2140;Constanta;;;;;;;;;;;;x
PROV2141;Kran;;;;;;;;;;;;x
PROV2142;Boyanaayu;;;;;;;;;;;;x
PROV2143;Svarlit;;;;;;;;;;;;x
PROV2144;Prosek;;;;;;;;;;;;x
PROV2145;Moravar;;;;;;;;;;;;x
PROV2146;Belogradchik;;;;;;;;;;;;x
PROV2147;Pec;;;;;;;;;;;;x
PROV2148;Uzice;;;;;;;;;;;;x
PROV2149;Gradac;;;;;;;;;;;;x
PROV2150;Kotor;;;;;;;;;;;;x
PROV2151;Skadar;;;;;;;;;;;;x
PROV2152;Pset;;;;;;;;;;;;x
PROV2153;Lepenica;;;;;;;;;;;;x
PROV2154;Otocac;;;;;;;;;;;;x
PROV2155;Krapina;;;;;;;;;;;;x
PROV2156;Ricany;;;;;;;;;;;;x
PROV2157;Vltava;;;;;;;;;;;;x
PROV2158;Tabor;;;;;;;;;;;;x
PROV2159;Pelhrimov;;;;;;;;;;;;x
PROV2160;Boleslava;;;;;;;;;;;;x
PROV2161;Falknov;;;;;;;;;;;;x
PROV2162;Uherske;;;;;;;;;;;;x
PROV2163;Bruntal;;;;;;;;;;;;x
PROV2164;Zateca;;;;;;;;;;;;x
PROV2165;Lichiresti;;;;;;;;;;;;x
PROV2166;Teleorman;;;;;;;;;;;;x
PROV2167;Dlagopole;;;;;;;;;;;;x
PROV2168;Arges;;;;;;;;;;;;x
PROV2169;Olt;;;;;;;;;;;;x
PROV2170;Caras;;;;;;;;;;;;x
PROV2171;Strehaia;;;;;;;;;;;;x
PROV2172;Prahova;;;;;;;;;;;;x
PROV2173;Lefekara;;;;;;;;;;;;x
PROV2174;El Fahs;;;;;;;;;;;;x
PROV2175;Sersi;;;;;;;;;;;;x
PROV2176;Abid;;;;;;;;;;;;x
PROV2177;Nefza;;;;;;;;;;;;x
PROV2178;Laazib;;;;;;;;;;;;x
PROV2179;Chetaibi;;;;;;;;;;;;x
PROV2180;Nograd;;;;;;;;;;;;x
PROV2181;Borsod;;;;;;;;;;;;x
PROV2182;Vasilika;;;;;;;;;;;;x
PROV2183;Messini;;;;;;;;;;;;x
PROV2184;Laconia;;;;;;;;;;;;x
PROV2185;Amaliada;;;;;;;;;;;;x
PROV2186;Katoikiec;;;;;;;;;;;;x
PROV2187;Larisa;;;;;;;;;;;;x
PROV2188;Olympos;;;;;;;;;;;;x
PROV2189;Comiso;;;;;;;;;;;;x
PROV2190;Balii;;;;;;;;;;;;x
