upgrade_holding;Add holding to county.;;;;;;;;;;;;;x
upgrade_holding_desc;By investing a large sum of money you're allowed to increase the province's holding slot amount.;;;;;;;;;;;;;x
cabbage_quest;Go on the Cabbage Quest;;;;;;;;;;;;;x
cabbage_quest_desc;Since rebuilding the path to the ancient Cabbage Temple we are now able to uncover its secrets.;;;;;;;;;;;;;x
cabbage_bloodline_effect_decision;Bless with Cabbages;;;;;;;;;;;;;x
cabbage_bloodline_effect_decision_desc;My veins run with blood of Great Cabbages, now I can bestow blessings onto the Georgian farms!;;;;;;;;;;;;;x
invite_diplomat;Invite Diplomat;;;;;;;;;;;;;x
invite_diplomat_desc;Invite a random diplomat from your realm to come work at your court.;;;;;;;;;;;;;x
invite_spy;Invite Spy;;;;;;;;;;;;;x
invite_spy_desc;Invite a random spy from your realm to come work at your court.;;;;;;;;;;;;;x
embrace_anglo_norse;Embrace Anglo-Norse;;;;;;;;;;;;;x
embrace_anglo_norse_desc;Embrace the Anglo-Norse culture. Anglo-Norse is a cultural mix between the Saxons and the Norse.;;;;;;;;;;;;;x
hansa_thankmar_rebellion;Form the Hanseactic League;;;;;;;;;;;;;x
hansa_thankmar_rebellion_desc;By alligning ourselves with all the cities and boroughs along the North Sea and the Baltic Sea we will able to establish a strong merchant league able to protect itself without the help of foreign lords or lieges.;;;;;;;;;;;;;x
study_quran;Study the Quran;;;;;;;;;;;;;x
study_quran_desc;In order to become more pious I must indulgde myself in the word of Allah (The Greatest).;;;;;;;;;;;;;x
monastic_order_learn_lifestyle;Pick Learning Trait;;;;;;;;;;;;;x
monastic_order_learn_lifestyle_desc;Choose from 3 different learning lifestyle traits and gain knowledge on your way to achieving that lifestyle.;;;;;;;;;;;;;x
negotiate_decadence;Negotiate Decadence;;;;;;;;;;;;;x
negotiate_decadence_desc;Negotiate the decadent ways of [Root.GetName] and turn him back to the ways of Allah.;;;;;;;;;;;;;x
invite_imam;Invite Imam;;;;;;;;;;;;;x
invite_imam_desc;Invite a wise Imam from the society come aid you at your court.;;;;;;;;;;;;;x
dissolve_hre_inside;Remove the Carolingian Influences;;;;;;;;;;;;;x
dissolve_hre_inside_desc;The influences of the Carolingians forced onto the people of Germania shall be undone! The tribes of Franconia, Swabia, Saxony, Thuringia will be split back into their original territories, no longer chained together by the Carolingian ideas that had fused them together. Together we can rebuild Germania in a new light!;;;;;;;;;;;;;x
sail_for_england_germanic;Conquer the Isles of the West;;;;;;;;;;;;;x
sail_for_england_germanic_desc;The viking longships have made many voyages to the British Isles and have tried to set up permanent residence in York, however the proper lands of England still lay untapped at large. We must conquer the Kingdom of England in our name!;;;;;;;;;;;;;x
sail_for_england_christian;Claim the Kingdom of England;;;;;;;;;;;;;x
sail_for_england_christian_desc;With turmoil rising in England and a claimant already on their way to dispute the current holder of the thrown, I can put together a good amount of evidence to support my own claim.;;;;;;;;;;;;;x
