#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
RULE_NORSEINVADERS;Norse Invaders;;;;;;;;;;;;x,,,,
RULE_NORSEINVADERS_HISTORICAL;Historical;;;;;;;;;;;;x,,,,
RULE_NORSEINVADERS_HISTORICAL_DESC;Norse Invaders such as Rurik and Rollo will only appear in their historical time frames.;;;;;;;;;;;;x,,,,
RULE_NORSEINVADERS_RANDOM;Random;;;;;;;;;;;;x,,,,
RULE_NORSEINVADERS_RANDOM_DESC;Norse Invaders will appear at more random times frames.;;;;;;;;;;;;x,,,,
RULE_NORSEINVADERS_OFF;Off;;;;;;;;;;;;x,,,,
RULE_NORSEINVADERS_OFF_DESC;Norse Invaders will never appear.;;;;;;;;;;;;x,,,,
EVTDESCRUR.98750;A great warrior, Rurik, has distinguished himself in many battles and raids. I believe this man could be a valuable Commander and a competent military leader.;;;;;;;;;x,,
EVTOPTARUR.98750;His potential bears watching.;;;;;;;;;x,,,,
EVTDESCRUR.98751;My men are restless and my ambitions must no longer be delayed. I must choose a juicy target and call my tribe to war!;;;;;;;;;x,,,,
EVTOPTARUR.98751;Beloozero is best!.;;;;;;;;;x,,,,
EVTOPTBRUR.98751;Novgorod seems natural.;;;;;;;;;x,,,,
EVTOPTCRUR.98751;Tver is rich and weak.;;;;;;;;;x,,,,
EVTDESCRUR.98754;I have fought long and hard for my liege and I have attracted a large, yet loyal, following. Rather than rise up against my old liege, I've decided to strike out for [From.Duchy.GetFullBaseName]. Let [From.Holder.TopLiege.GetTitledFirstName] tremble in fear!;;;;;;;;;x,
EVTOPTARUR.98754;Prepare the boats!;;;;;;;;;x,,,,
EVTDESCRUR.98755;One of the most capable warriors in the realm, Rurik, has gathered a large following of men and has set out declaring his intention to take the [FromFrom.Duchy.GetFullBaseName] from [FromFrom.Holder.TopLiege.GetBestName]!;;;;;;;;;x,,
EVTOPTARUR.98755;As long as he does not turn on me!;;;;;;;;;x,,,,
EVTNAMERUR.98756;The Rurikids in Rus;;;;;;;;;x,,,,
EVTDESCRUR.98756;In Eastern Europe, where the tribal warlords of the Eastern Slavs lye, a Nordic warrior, Rurik, has invaded the Slavic tribes of Eastern Europe and carved out a realm of his own. The establishment of the Rurikid dynasty has the potential to unite the region under this new dynastic banner which could alter the regions' cultural and religious foundations forever.;;;;;;;;;x
EVTOPTARUR.98756;I'm not done yet.;;;;;;;;;x,,,,
EVTOPTBRUR.98756;He is an inspiration to all Norseman!;;;;;;;;;x,,,,
EVTOPTCRUR.98756;These Norsemen go everywhere.;;;;;;;;;x,,,,
