PROV2135;Frada;;;;;;;;;;;;;x
PROV2136;Frascati;;;;;;;;;;;;;x
PROV2137;Formello;;;;;;;;;;;;;x
PROV2138;Mijdrecht;;;;;;;;;;;;;x
PROV2139;Hoei;;;;;;;;;;;;;x
PROV2140;Oudergem;;;;;;;;;;;;;x
PROV2141;Ottavia;;;;;;;;;;;;;x
PROV2142;Sapri;;;;;;;;;;;;;x
PROV2143;Teano;;;;;;;;;;;;;x
PROV2144;Avellino;;;;;;;;;;;;;x
PROV2145;Amaliada;;;;;;;;;;;;;x
PROV2146;Lagkadia;;;;;;;;;;;;;x
PROV2147;Laconia;;;;;;;;;;;;;x
PROV2148;Messini;;;;;;;;;;;;;x
PROV2149;Vasilika;;;;;;;;;;;;;x
PROV2150;Katoikiec;;;;;;;;;;;;;x
PROV2151;Larisa;;;;;;;;;;;;;x
PROV2152;Olympos;;;;;;;;;;;;;x
PROV2153;Aiginio;;;;;;;;;;;;;x
PROV2154;Madrid;;;;;;;;;;;;;x
PROV2155;Rosalejo;;;;;;;;;;;;;x
PROV2156;Borba;;;;;;;;;;;;;x
PROV2157;Manerbio;;;;;;;;;;;;;x
PROV2158;Ellhofen;;;;;;;;;;;;;x
PROV2159;Zurbergen;;;;;;;;;;;;;x
PROV2160;Steteinen;;;;;;;;;;;;;x
PROV2161;Gelnhausen;;;;;;;;;;;;;x
PROV2162;Rimpar;;;;;;;;;;;;;x
PROV2163;Bischberg;;;;;;;;;;;;;x
PROV2164;Ebeleben;;;;;;;;;;;;;x
PROV2165;Aldorf;;;;;;;;;;;;;x
PROV2166;Nersingen;;;;;;;;;;;;;x
PROV2167;Lohra;;;;;;;;;;;;;x
PROV2168;Agrosi;;;;;;;;;;;;;x
PROV2169;Lefekara;;;;;;;;;;;;;x
PROV2170;Cakopetie;;;;;;;;;;;;;x
PROV2171;Balii;;;;;;;;;;;;;x
PROV2172;Malie;;;;;;;;;;;;;x
PROV2173;Trebben;;;;;;;;;;;;;x
PROV2174;Affingen;;;;;;;;;;;;;x
PROV2175;Ciminna;;;;;;;;;;;;;x
PROV2176;Comiso;;;;;;;;;;;;;x
PROV2177;El Fahs;;;;;;;;;;;;;x
PROV2178;Sersi;;;;;;;;;;;;;x
PROV2179;Abid;;;;;;;;;;;;;x
PROV2180;Nefza;;;;;;;;;;;;;x
PROV2181;Bargou;;;;;;;;;;;;;x
PROV2182;Chetaibi;;;;;;;;;;;;;x
PROV2183;Laazib;;;;;;;;;;;;;x
PROV2184;Abensberg;;;;;;;;;;;;;x
PROV2185;Chavari;;;;;;;;;;;;;x
PROV2186;Hawijal;;;;;;;;;;;;;x
PROV2187;Makhmuri;;;;;;;;;;;;;x
PROV2188;Bayjie;;;;;;;;;;;;;x
PROV2189;Kalake;;;;;;;;;;;;;x
PROV2190;Nasiriye;;;;;;;;;;;;;x
PROV2191;Ibadaia;;;;;;;;;;;;;x
PROV2192;Nawarie;;;;;;;;;;;;;x
PROV2193;Razazia;;;;;;;;;;;;;x
PROV2194;Vastoe;;;;;;;;;;;;;x
PROV2195;Massaar;;;;;;;;;;;;;x
PROV2196;Arzon;;;;;;;;;;;;;x
PROV2197;Frejuse;;;;;;;;;;;;;x
PROV2198;Allosei;;;;;;;;;;;;;x
PROV2199;Vife;;;;;;;;;;;;;x
PROV2200;Rivesi;;;;;;;;;;;;;x
PROV2201;Boulocre;;;;;;;;;;;;;x
PROV2202;Jurgen;;;;;;;;;;;;;x
PROV2203;Agerskophen;;;;;;;;;;;;;x
PROV2204;Dagebulle;;;;;;;;;;;;;x
PROV2205;Nerpio;;;;;;;;;;;;;x
PROV2206;Zujario;;;;;;;;;;;;;x
PROV2207;Motrile;;;;;;;;;;;;;x
PROV2208;Woodstock;;;;;;;;;;;;;x
PROV2209;Thirsk;;;;;;;;;;;;;x
PROV2210;Newmarket;;;;;;;;;;;;;x
PROV2211;Esbjerg;;;;;;;;;;;;;x
PROV2212;Turze;;;;;;;;;;;;;x
PROV2213;Masis;;;;;;;;;;;;;x
PROV2214;Topoli;;;;;;;;;;;;;x
