borrow_more_money_jews;Borrow 600¤ from [jewish.GetName] Merchants;;;;;;;;;;;;;x
borrow_alot_money_jews;Borrow 800¤ from [jewish.GetName] Merchants;;;;;;;;;;;;;x

borrowed_more_money_from_jews;Owes 750¤ to [jewish.GetName] Moneylenders;;;;;;;;;;;;;x
borrowed_alot_money_from_jews;Owes 1000¤ to [jewish.GetName] Moneylenders;;;;;;;;;;;;;x

repay_more_money_jews;Repay the 750¤ loan;;;;;;;;;;;;;x
repay_alot_money_jews;Repay the 1000¤ loan;;;;;;;;;;;;;x

repay_more_money_jews_desc;I will repay the gold that I owe the [jewish.GetName] moneylenders.;;;;;;;;;;;;;x
repay_alot_money_jews_desc;I will repay the gold that I owe the [jewish.GetName] moneylenders.;;;;;;;;;;;;;x

borrow_more_money_jews_desc;I can borrow 600¤ from Jewish merchants and moneylenders living in the realm. With the interest agreed upon, I will owe them 750¤ to be paid back at my convenience.;;;;;;;;;;;x
borrow_alot_money_jews_desc;I can borrow 800¤ from Jewish merchants and moneylenders living in the realm. With the interest agreed upon, I will owe them 1000¤ to be paid back at my convenience.;;;;;;;;;;;x
