#
germanic_pagan_DESC;The old faith of the Germanic tribes venerates a pantheon led by powerful gods such as Wodan, Donar, and Frigg. Warriors seek the favor of the gods through courage, oathkeeping, and blood sacrifice, believing that glory in battle ensures a place in the halls of the honored dead. Sacred groves, runic rites, and seasonal festivals bind the community together in devotion to the old ways, resisting the encroachment of foreign faiths.;;;;;;;;;x
GOD_WODAN;Wodan;;;;;;;;;x
GOD_DONAR;Donar;;;;;;;;;x
GOD_FRIGG;Frigg;;;;;;;;;x
germanic_pagan;Germanischer Heide;;;;;;;;;x
germanic_pagan_reformed;Germanischer Heide;;;;;;;;;x
d_germanic_pagan_reformed;Germanic Church;;;;;;;;;x
nicene_christian;Nicene Christianity;;;;;;;;;x
nicene_christian_DESC;Founded on the teachings of Jesus Christ and the doctrine defined at the First Council of Nicaea, this faith proclaims one God in three persons: Father, Son, and Holy Spirit. It emphasizes the divinity of Christ, the authority of the Church, and the unity of believers under orthodox doctrine. Guided by bishops and councils, Nicene Christianity seeks to spread the Gospel, uphold sacred tradition, and protect the faithful from heresy.;;;;;;;;;x
celtic_pagan;Celtic Paganism;;;;;;;;;x
celtic_pagan_reformed;Celtic Paganism;;;;;;;;;x
celtic_pagan_DESC;Rooted in the sacred groves, misty hills, and ancient stone circles of the Celts, this faith venerates a pantheon of deities tied to nature, war, and the cycles of life and death. Druids serve as spiritual guides, mediating between mortals and the divine through ritual, sacrifice, and prophecy. Sacred animals, holy wells, and seasonal festivals hold deep importance, marking the eternal balance between fertility and the harvest, war and peace, life and the Otherworld. Though fragmented in practice, Celtic Paganism is bound by reverence for the land, the ancestors, and the ever-present spirits that dwell beyond mortal sight.;;;;;;;;;x
d_celtic_pagan_reformed;Celtic Church;;;;;;;;;x
