# -*- ck2.history.provinces -*-

# 341 - Trapani # Aderno

# County Title
title = c_trapani

# Settlements
max_settlements = 5 #old 4

b_aderno = castle
b_caltanisetta = castle
#b_aidone = castle
b_castrogiovanni = city

# Misc
culture = greek
religion = orthodox
terrain = mountain

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman
}
601.1.1 = {
	religion = orthodox
	culture = greek
}

940.1.1={ culture = maghreb_arabic }
940.1.1={ religion = sunni }
960.1.1={ culture = sicilian_arabic }

# EDITMOD 1066
1066.1.1 = {
	b_aderno = castle
	b_aderno = ca_barracks_1
	b_aderno = ca_barracks_2
	b_aderno = ca_barracks_3
	b_aderno = ca_wall_1
	b_aderno = ca_wall_2
	b_aderno = ca_keep_1
	b_aderno = ca_keep_2
	b_aderno = ca_keep_3
	b_aderno = ca_militia_barracks_1
	b_aderno = ca_militia_barracks_2
	b_aderno = ca_militia_barracks_3
	b_aderno = ca_training_grounds_1
	b_aderno = ca_training_grounds_2
	b_aderno = ca_stable_1
	b_aderno = ca_stable_2
	b_aderno = ca_stable_3
	b_aderno = ca_town_1
	b_aderno = ca_town_2
	b_aderno = ca_town_3
	b_aderno = ca_wall_q_1
	b_aderno = ca_wall_q_2
	b_aderno = castle_tower_1
	b_aderno = castle_tower_2
	b_aderno = castle_smith_1
	b_aderno = castle_smith_2
	b_aderno = stone_mine_1
	b_caltanisetta = castle
	b_caltanisetta = ca_barracks_1
	b_caltanisetta = ca_barracks_2
	b_caltanisetta = ca_barracks_3
	b_caltanisetta = ca_wall_1
	b_caltanisetta = ca_wall_2
	b_caltanisetta = ca_keep_1
	b_caltanisetta = ca_keep_2
	b_caltanisetta = ca_keep_3
	b_caltanisetta = ca_militia_barracks_1
	b_caltanisetta = ca_militia_barracks_2
	b_caltanisetta = ca_militia_barracks_3
	b_caltanisetta = ca_training_grounds_1
	b_caltanisetta = ca_training_grounds_2
	b_caltanisetta = ca_stable_1
	b_caltanisetta = ca_stable_2
	b_caltanisetta = ca_stable_3
	b_caltanisetta = ca_town_1
	b_caltanisetta = ca_town_2
	b_caltanisetta = ca_town_3
	b_caltanisetta = ca_wall_q_1
	b_caltanisetta = ca_wall_q_2
	b_caltanisetta = castle_tower_1
	b_caltanisetta = castle_tower_2
	b_caltanisetta = castle_smith_1
	b_caltanisetta = castle_smith_2
	b_caltanisetta = stone_mine_1
	b_aidone = castle
	b_aidone = ca_barracks_1
	b_aidone = ca_barracks_2
	b_aidone = ca_barracks_3
	b_aidone = ca_wall_1
	b_aidone = ca_wall_2
	b_aidone = ca_keep_1
	b_aidone = ca_keep_2
	b_aidone = ca_keep_3
	b_aidone = ca_militia_barracks_1
	b_aidone = ca_militia_barracks_2
	b_aidone = ca_militia_barracks_3
	b_aidone = ca_training_grounds_1
	b_aidone = ca_training_grounds_2
	b_aidone = ca_stable_1
	b_aidone = ca_stable_2
	b_aidone = ca_stable_3
	b_aidone = ca_town_1
	b_aidone = ca_town_2
	b_aidone = ca_town_3
	b_aidone = ca_wall_q_1
	b_aidone = ca_wall_q_2
	b_aidone = castle_tower_1
	b_aidone = castle_tower_2
	b_aidone = castle_smith_1
	b_aidone = castle_smith_2
	b_aidone = stone_mine_1
	b_trapani5 = castle
	b_trapani5 = ca_barracks_1
	b_trapani5 = ca_barracks_2
	b_trapani5 = ca_barracks_3
	b_trapani5 = ca_wall_1
	b_trapani5 = ca_wall_2
	b_trapani5 = ca_keep_1
	b_trapani5 = ca_keep_2
	b_trapani5 = ca_keep_3
	b_trapani5 = ca_militia_barracks_1
	b_trapani5 = ca_militia_barracks_2
	b_trapani5 = ca_militia_barracks_3
	b_trapani5 = ca_training_grounds_1
	b_trapani5 = ca_training_grounds_2
	b_trapani5 = ca_stable_1
	b_trapani5 = ca_stable_2
	b_trapani5 = ca_stable_3
	b_trapani5 = ca_town_1
	b_trapani5 = ca_town_2
	b_trapani5 = ca_town_3
	b_trapani5 = ca_wall_q_1
	b_trapani5 = ca_wall_q_2
	b_trapani5 = castle_tower_1
	b_trapani5 = castle_tower_2
	b_trapani5 = castle_smith_1
	b_trapani5 = castle_smith_2
	b_trapani5 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_aidone
	remove_settlement = b_trapani5
}

1085.1.1={ culture = sicilian }
1085.1.1={ religion = catholic }
1118.1.1={ b_aidone = castle }
