# -*- ck2.history.provinces -*-

# 167 - Malaga

# County Title
title = c_malaga

# Settlements
max_settlements = 6 #old 5
b_malaga = castle
b_archidona = city
b_bobastro = castle
b_ronda = temple
#b_velezmalaga = city #attested by the 12th century
#b_antequera = temple #attested by the 13th century
#b_benalmadena = city
#b_marbella = castle
#b_mijas = city
#b_estepona = castle
#b_torremolinos = castle


culture = andalusian_arabic
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman_spain
}
400.1.1 = {
	b_malaga = tribal
	remove_settlement = b_archidona
	remove_settlement = b_bobastro
	remove_settlement = b_ronda
}
600.1.1 = {
	b_malaga = castle
	b_archidona = city
	b_bobastro = castle
	b_ronda = temple
}
601.1.1 = {
	religion = sunni
	culture = andalusian_arabic
}
# EDITMOD 867
867.1.1 = {
	b_malaga = castle
	b_malaga = ca_barracks_1
	b_malaga = ca_barracks_2
	b_malaga = ca_wall_1
	b_malaga = ca_wall_2
	b_malaga = ca_keep_1
	b_malaga = ca_keep_2
	b_malaga = ca_militia_barracks_1
	b_malaga = ca_militia_barracks_2
	b_malaga = ca_training_grounds_1
	b_malaga = ca_training_grounds_2
	b_malaga = ca_stable_1
	b_malaga = ca_stable_2
	b_malaga = ca_town_1
	b_malaga = ca_town_2
	b_malaga = ca_wall_q_1
	b_malaga = castle_tower_1
	b_malaga = castle_smith_1
	b_malaga = stone_mine_1
	b_bobastro = castle
	b_bobastro = ca_barracks_1
	b_bobastro = ca_barracks_2
	b_bobastro = ca_wall_1
	b_bobastro = ca_wall_2
	b_bobastro = ca_keep_1
	b_bobastro = ca_keep_2
	b_bobastro = ca_militia_barracks_1
	b_bobastro = ca_militia_barracks_2
	b_bobastro = ca_training_grounds_1
	b_bobastro = ca_training_grounds_2
	b_bobastro = ca_stable_1
	b_bobastro = ca_stable_2
	b_bobastro = ca_town_1
	b_bobastro = ca_town_2
	b_bobastro = ca_wall_q_1
	b_bobastro = castle_tower_1
	b_bobastro = castle_smith_1
	b_bobastro = stone_mine_1
	b_velezmalaga = castle
	b_velezmalaga = ca_barracks_1
	b_velezmalaga = ca_barracks_2
	b_velezmalaga = ca_wall_1
	b_velezmalaga = ca_wall_2
	b_velezmalaga = ca_keep_1
	b_velezmalaga = ca_keep_2
	b_velezmalaga = ca_militia_barracks_1
	b_velezmalaga = ca_militia_barracks_2
	b_velezmalaga = ca_training_grounds_1
	b_velezmalaga = ca_training_grounds_2
	b_velezmalaga = ca_stable_1
	b_velezmalaga = ca_stable_2
	b_velezmalaga = ca_town_1
	b_velezmalaga = ca_town_2
	b_velezmalaga = ca_wall_q_1
	b_velezmalaga = castle_tower_1
	b_velezmalaga = castle_smith_1
	b_velezmalaga = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_velezmalaga
}

# EDITMOD 936
936.1.1 = {
	b_malaga = castle
	b_malaga = ca_barracks_1
	b_malaga = ca_barracks_2
	b_malaga = ca_wall_1
	b_malaga = ca_wall_2
	b_malaga = ca_keep_1
	b_malaga = ca_keep_2
	b_malaga = ca_militia_barracks_1
	b_malaga = ca_militia_barracks_2
	b_malaga = ca_training_grounds_1
	b_malaga = ca_training_grounds_2
	b_malaga = ca_stable_1
	b_malaga = ca_stable_2
	b_malaga = ca_town_1
	b_malaga = ca_town_2
	b_malaga = ca_wall_q_1
	b_malaga = castle_tower_1
	b_malaga = castle_smith_1
	b_malaga = stone_mine_1
	b_bobastro = castle
	b_bobastro = ca_barracks_1
	b_bobastro = ca_barracks_2
	b_bobastro = ca_wall_1
	b_bobastro = ca_wall_2
	b_bobastro = ca_keep_1
	b_bobastro = ca_keep_2
	b_bobastro = ca_militia_barracks_1
	b_bobastro = ca_militia_barracks_2
	b_bobastro = ca_training_grounds_1
	b_bobastro = ca_training_grounds_2
	b_bobastro = ca_stable_1
	b_bobastro = ca_stable_2
	b_bobastro = ca_town_1
	b_bobastro = ca_town_2
	b_bobastro = ca_wall_q_1
	b_bobastro = castle_tower_1
	b_bobastro = castle_smith_1
	b_bobastro = stone_mine_1
	b_velezmalaga = castle
	b_velezmalaga = ca_barracks_1
	b_velezmalaga = ca_barracks_2
	b_velezmalaga = ca_wall_1
	b_velezmalaga = ca_wall_2
	b_velezmalaga = ca_keep_1
	b_velezmalaga = ca_keep_2
	b_velezmalaga = ca_militia_barracks_1
	b_velezmalaga = ca_militia_barracks_2
	b_velezmalaga = ca_training_grounds_1
	b_velezmalaga = ca_training_grounds_2
	b_velezmalaga = ca_stable_1
	b_velezmalaga = ca_stable_2
	b_velezmalaga = ca_town_1
	b_velezmalaga = ca_town_2
	b_velezmalaga = ca_wall_q_1
	b_velezmalaga = castle_tower_1
	b_velezmalaga = castle_smith_1
	b_velezmalaga = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_velezmalaga
}

# EDITMOD 1066
1066.1.1 = {
	b_malaga = castle
	b_malaga = ca_barracks_1
	b_malaga = ca_barracks_2
	b_malaga = ca_barracks_3
	b_malaga = ca_wall_1
	b_malaga = ca_wall_2
	b_malaga = ca_keep_1
	b_malaga = ca_keep_2
	b_malaga = ca_keep_3
	b_malaga = ca_militia_barracks_1
	b_malaga = ca_militia_barracks_2
	b_malaga = ca_militia_barracks_3
	b_malaga = ca_training_grounds_1
	b_malaga = ca_training_grounds_2
	b_malaga = ca_stable_1
	b_malaga = ca_stable_2
	b_malaga = ca_stable_3
	b_malaga = ca_town_1
	b_malaga = ca_town_2
	b_malaga = ca_town_3
	b_malaga = ca_wall_q_1
	b_malaga = ca_wall_q_2
	b_malaga = castle_tower_1
	b_malaga = castle_smith_1
	b_malaga = stone_mine_1
	b_bobastro = castle
	b_bobastro = ca_barracks_1
	b_bobastro = ca_barracks_2
	b_bobastro = ca_barracks_3
	b_bobastro = ca_wall_1
	b_bobastro = ca_wall_2
	b_bobastro = ca_keep_1
	b_bobastro = ca_keep_2
	b_bobastro = ca_keep_3
	b_bobastro = ca_militia_barracks_1
	b_bobastro = ca_militia_barracks_2
	b_bobastro = ca_militia_barracks_3
	b_bobastro = ca_training_grounds_1
	b_bobastro = ca_training_grounds_2
	b_bobastro = ca_stable_1
	b_bobastro = ca_stable_2
	b_bobastro = ca_stable_3
	b_bobastro = ca_town_1
	b_bobastro = ca_town_2
	b_bobastro = ca_town_3
	b_bobastro = ca_wall_q_1
	b_bobastro = ca_wall_q_2
	b_bobastro = castle_tower_1
	b_bobastro = castle_smith_1
	b_bobastro = stone_mine_1
	b_velezmalaga = castle
	b_velezmalaga = ca_barracks_1
	b_velezmalaga = ca_barracks_2
	b_velezmalaga = ca_barracks_3
	b_velezmalaga = ca_wall_1
	b_velezmalaga = ca_wall_2
	b_velezmalaga = ca_keep_1
	b_velezmalaga = ca_keep_2
	b_velezmalaga = ca_keep_3
	b_velezmalaga = ca_militia_barracks_1
	b_velezmalaga = ca_militia_barracks_2
	b_velezmalaga = ca_militia_barracks_3
	b_velezmalaga = ca_training_grounds_1
	b_velezmalaga = ca_training_grounds_2
	b_velezmalaga = ca_stable_1
	b_velezmalaga = ca_stable_2
	b_velezmalaga = ca_stable_3
	b_velezmalaga = ca_town_1
	b_velezmalaga = ca_town_2
	b_velezmalaga = ca_town_3
	b_velezmalaga = ca_wall_q_1
	b_velezmalaga = ca_wall_q_2
	b_velezmalaga = castle_tower_1
	b_velezmalaga = castle_smith_1
	b_velezmalaga = stone_mine_1
