# -*- ck2.history.provinces -*-

# 647 - Idháj

# County Title
title = c_idhaj

# Settlements
max_settlements = 6 #old 4
b_ramhurmuz = castle
b_idhadj = city
b_askar-mukram = city
b_tustar = castle

#b_lurdagan = city

# Misc
culture = persian
religion = sunni

# History
399.1.1 = {
	religion = zoroastrian
	culture = persian
}
601.1.1 = {
	religion = sunni
	culture = persian
}



# EDITMOD 1066
1066.1.1 = {
	b_ramhurmuz = castle
	b_ramhurmuz = ca_barracks_1
	b_ramhurmuz = ca_barracks_2
	b_ramhurmuz = ca_barracks_3
	b_ramhurmuz = ca_wall_1
	b_ramhurmuz = ca_wall_2
	b_ramhurmuz = ca_keep_1
	b_ramhurmuz = ca_keep_2
	b_ramhurmuz = ca_keep_3
	b_ramhurmuz = ca_militia_barracks_1
	b_ramhurmuz = ca_militia_barracks_2
	b_ramhurmuz = ca_militia_barracks_3
	b_ramhurmuz = ca_training_grounds_1
	b_ramhurmuz = ca_training_grounds_2
	b_ramhurmuz = ca_stable_1
	b_ramhurmuz = ca_stable_2
	b_ramhurmuz = ca_stable_3
	b_ramhurmuz = ca_town_1
	b_ramhurmuz = ca_town_2
	b_ramhurmuz = ca_town_3
	b_ramhurmuz = ca_wall_q_1
	b_ramhurmuz = ca_wall_q_2
	b_ramhurmuz = castle_tower_1
	b_ramhurmuz = castle_smith_1
	b_ramhurmuz = stone_mine_1
	b_tustar = castle
	b_tustar = ca_barracks_1
	b_tustar = ca_barracks_2
	b_tustar = ca_barracks_3
	b_tustar = ca_wall_1
	b_tustar = ca_wall_2
	b_tustar = ca_keep_1
	b_tustar = ca_keep_2
	b_tustar = ca_keep_3
	b_tustar = ca_militia_barracks_1
	b_tustar = ca_militia_barracks_2
	b_tustar = ca_militia_barracks_3
	b_tustar = ca_training_grounds_1
	b_tustar = ca_training_grounds_2
	b_tustar = ca_stable_1
	b_tustar = ca_stable_2
	b_tustar = ca_stable_3
	b_tustar = ca_town_1
	b_tustar = ca_town_2
	b_tustar = ca_town_3
	b_tustar = ca_wall_q_1
	b_tustar = ca_wall_q_2
	b_tustar = castle_tower_1
	b_tustar = castle_smith_1
	b_tustar = stone_mine_1
	b_lurdagan = castle
	b_lurdagan = ca_barracks_1
	b_lurdagan = ca_barracks_2
	b_lurdagan = ca_barracks_3
	b_lurdagan = ca_wall_1
	b_lurdagan = ca_wall_2
	b_lurdagan = ca_keep_1
	b_lurdagan = ca_keep_2
	b_lurdagan = ca_keep_3
	b_lurdagan = ca_militia_barracks_1
	b_lurdagan = ca_militia_barracks_2
	b_lurdagan = ca_militia_barracks_3
	b_lurdagan = ca_training_grounds_1
	b_lurdagan = ca_training_grounds_2
	b_lurdagan = ca_stable_1
	b_lurdagan = ca_stable_2
	b_lurdagan = ca_stable_3
	b_lurdagan = ca_town_1
	b_lurdagan = ca_town_2
	b_lurdagan = ca_town_3
	b_lurdagan = ca_wall_q_1
	b_lurdagan = ca_wall_q_2
	b_lurdagan = castle_tower_1
	b_lurdagan = castle_smith_1
	b_lurdagan = stone_mine_1
	b_idhaj6 = castle
	b_idhaj6 = ca_barracks_1
	b_idhaj6 = ca_barracks_2
	b_idhaj6 = ca_barracks_3
	b_idhaj6 = ca_wall_1
	b_idhaj6 = ca_wall_2
	b_idhaj6 = ca_keep_1
	b_idhaj6 = ca_keep_2
	b_idhaj6 = ca_keep_3
	b_idhaj6 = ca_militia_barracks_1
	b_idhaj6 = ca_militia_barracks_2
	b_idhaj6 = ca_militia_barracks_3
	b_idhaj6 = ca_training_grounds_1
	b_idhaj6 = ca_training_grounds_2
	b_idhaj6 = ca_stable_1
	b_idhaj6 = ca_stable_2
	b_idhaj6 = ca_stable_3
	b_idhaj6 = ca_town_1
	b_idhaj6 = ca_town_2
	b_idhaj6 = ca_town_3
	b_idhaj6 = ca_wall_q_1
	b_idhaj6 = ca_wall_q_2
	b_idhaj6 = castle_tower_1
	b_idhaj6 = castle_smith_1
	b_idhaj6 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_lurdagan
	remove_settlement = b_idhaj6
}
