# -*- ck2.history.provinces -*-

# 767 - Tripoli

# County Title
title = c_tripoli

# Settlements
max_settlements = 5

b_citadeloftripoli = castle
b_archa = castle
b_syrtripoli = city
b_buissera = temple
#b_nephin = castle
#b_citdaelofsaintgilles = castle
#b_amiountripoli = city





# Misc
culture = levantine_arabic
religion = sunni

# History

1066.1.1 = {
	b_citadeloftripoli = castle
	b_citadeloftripoli = ca_barracks_1
	b_citadeloftripoli = ca_barracks_2
	b_citadeloftripoli = ca_barracks_3
	b_citadeloftripoli = ca_barracks_4
	b_citadeloftripoli = ca_wall_1
	b_citadeloftripoli = ca_wall_2
	b_citadeloftripoli = ca_wall_3
	b_citadeloftripoli = ca_wall_4
	b_citadeloftripoli = ca_keep_1
	b_citadeloftripoli = ca_keep_2
	b_citadeloftripoli = ca_keep_3
	b_citadeloftripoli = ca_keep_4
	b_citadeloftripoli = ca_militia_barracks_1
	b_citadeloftripoli = ca_militia_barracks_2
	b_citadeloftripoli = ca_militia_barracks_3
	b_citadeloftripoli = ca_militia_barracks_4
	b_citadeloftripoli = ca_training_grounds_1
	b_citadeloftripoli = ca_training_grounds_2
	b_citadeloftripoli = ca_stable_1
	b_citadeloftripoli = ca_stable_2
	b_citadeloftripoli = ca_stable_3
	b_citadeloftripoli = ca_stable_4
	b_citadeloftripoli = ca_town_1
	b_citadeloftripoli = ca_town_2
	b_citadeloftripoli = ca_town_3
	b_citadeloftripoli = ca_town_4
	b_archa = castle
	b_archa = ca_barracks_1
	b_archa = ca_barracks_2
	b_archa = ca_barracks_3
	b_archa = ca_barracks_4
	b_archa = ca_wall_1
	b_archa = ca_wall_2
	b_archa = ca_wall_3
	b_archa = ca_wall_4
	b_archa = ca_keep_1
	b_archa = ca_keep_2
	b_archa = ca_keep_3
	b_archa = ca_keep_4
	b_archa = ca_militia_barracks_1
	b_archa = ca_militia_barracks_2
	b_archa = ca_militia_barracks_3
	b_archa = ca_militia_barracks_4
	b_archa = ca_training_grounds_1
	b_archa = ca_training_grounds_2
	b_archa = ca_stable_1
	b_archa = ca_stable_2
	b_archa = ca_stable_3
	b_archa = ca_stable_4
	b_archa = ca_town_1
	b_archa = ca_town_2
	b_archa = ca_town_3
	b_archa = ca_town_4
	b_citdaelofsaintgilles = castle
	b_citdaelofsaintgilles = ca_barracks_1
	b_citdaelofsaintgilles = ca_barracks_2
	b_citdaelofsaintgilles = ca_barracks_3
	b_citdaelofsaintgilles = ca_barracks_4
	b_citdaelofsaintgilles = ca_wall_1
	b_citdaelofsaintgilles = ca_wall_2
	b_citdaelofsaintgilles = ca_wall_3
	b_citdaelofsaintgilles = ca_wall_4
	b_citdaelofsaintgilles = ca_keep_1
	b_citdaelofsaintgilles = ca_keep_2
	b_citdaelofsaintgilles = ca_keep_3
	b_citdaelofsaintgilles = ca_keep_4
	b_citdaelofsaintgilles = ca_militia_barracks_1
	b_citdaelofsaintgilles = ca_militia_barracks_2
	b_citdaelofsaintgilles = ca_militia_barracks_3
	b_citdaelofsaintgilles = ca_militia_barracks_4
	b_citdaelofsaintgilles = ca_training_grounds_1
	b_citdaelofsaintgilles = ca_training_grounds_2
	b_citdaelofsaintgilles = ca_stable_1
	b_citdaelofsaintgilles = ca_stable_2
	b_citdaelofsaintgilles = ca_stable_3
	b_citdaelofsaintgilles = ca_stable_4
	b_citdaelofsaintgilles = ca_town_1
	b_citdaelofsaintgilles = ca_town_2
	b_citdaelofsaintgilles = ca_town_3
	b_citdaelofsaintgilles = ca_town_4
}

1090.1.1 = { b_citdaelofsaintgilles = castle }

1285.1.1 = { trade_post = b_contarini }

# 1289 Mamluks take the county of Tripoli

