# -*- ck2.history.provinces -*-

# 1398 - Nafusa

# County Title
title = c_nafusa

# Settlements
max_settlements = 5

b_nafusa = tribal
b_djadojafran = city
#b_jafran = city
#b_tindemira = city
#b_nalut = city

#b_tiri = castle
#b_baniwaled = city
#b_mazuzah = castle

# Misc
culture = zanata
religion = ibadi

# History

1066.1.1 = {
	capital = b_nafusa
	b_nafusa = castle
	b_nafusa = ca_barracks_1
	b_nafusa = ca_barracks_2
	b_nafusa = ca_barracks_3
	b_nafusa = ca_barracks_4
	b_nafusa = ca_wall_1
	b_nafusa = ca_wall_2
	b_nafusa = ca_wall_3
	b_nafusa = ca_wall_4
	b_nafusa = ca_keep_1
	b_nafusa = ca_keep_2
	b_nafusa = ca_keep_3
	b_nafusa = ca_keep_4
	b_nafusa = ca_militia_barracks_1
	b_nafusa = ca_militia_barracks_2
	b_nafusa = ca_militia_barracks_3
	b_nafusa = ca_militia_barracks_4
	b_nafusa = ca_training_grounds_1
	b_nafusa = ca_training_grounds_2
	b_nafusa = ca_stable_1
	b_nafusa = ca_stable_2
	b_nafusa = ca_stable_3
	b_nafusa = ca_stable_4
	b_nafusa = ca_town_1
	b_nafusa = ca_town_2
	b_nafusa = ca_town_3
	b_nafusa = ca_town_4
	b_mazuzah = castle
	b_mazuzah = ca_barracks_1
	b_mazuzah = ca_barracks_2
	b_mazuzah = ca_barracks_3
	b_mazuzah = ca_barracks_4
	b_mazuzah = ca_wall_1
	b_mazuzah = ca_wall_2
	b_mazuzah = ca_wall_3
	b_mazuzah = ca_wall_4
	b_mazuzah = ca_keep_1
	b_mazuzah = ca_keep_2
	b_mazuzah = ca_keep_3
	b_mazuzah = ca_keep_4
	b_mazuzah = ca_militia_barracks_1
	b_mazuzah = ca_militia_barracks_2
	b_mazuzah = ca_militia_barracks_3
	b_mazuzah = ca_militia_barracks_4
	b_mazuzah = ca_training_grounds_1
	b_mazuzah = ca_training_grounds_2
	b_mazuzah = ca_stable_1
	b_mazuzah = ca_stable_2
	b_mazuzah = ca_stable_3
	b_mazuzah = ca_stable_4
	b_mazuzah = ca_town_1
	b_mazuzah = ca_town_2
	b_mazuzah = ca_town_3
	b_mazuzah = ca_town_4
}

1171.1.1 = { religion = sunni }

