# -*- ck2.history.provinces -*-

# 804 - Al Alamayn

# County Title
title = c_al_alamayn

# Settlements
max_settlements = 3 #old 2
b_sollum = tribal
#b_mersamatruh = city

#b_sidibarrani = temple
#b_fuka = castle
#b_katabathmos = castle
#b_paraitonion = castle
#b_ghazal = castle
#b_shammas = castle

# Misc
culture = zanata
religion = sunni

# History



# EDITMOD 867
867.1.1 = {
	b_sollum = castle
	b_sollum = ca_barracks_1
	b_sollum = ca_barracks_2
	b_sollum = ca_wall_1
	b_sollum = ca_wall_2
	b_sollum = ca_keep_1
	b_sollum = ca_keep_2
	b_sollum = ca_militia_barracks_1
	b_sollum = ca_militia_barracks_2
	b_sollum = ca_training_grounds_1
	b_sollum = ca_training_grounds_2
	b_sollum = ca_stable_1
	b_sollum = ca_stable_2
	b_sollum = ca_town_1
	b_sollum = ca_town_2
	b_sollum = ca_wall_q_1
	b_sollum = castle_tower_1
	b_sollum = castle_smith_1
	b_sollum = stone_mine_1
	b_mersamatruh = castle
	b_mersamatruh = ca_barracks_1
	b_mersamatruh = ca_barracks_2
	b_mersamatruh = ca_wall_1
	b_mersamatruh = ca_wall_2
	b_mersamatruh = ca_keep_1
	b_mersamatruh = ca_keep_2
	b_mersamatruh = ca_militia_barracks_1
	b_mersamatruh = ca_militia_barracks_2
	b_mersamatruh = ca_training_grounds_1
	b_mersamatruh = ca_training_grounds_2
	b_mersamatruh = ca_stable_1
	b_mersamatruh = ca_stable_2
	b_mersamatruh = ca_town_1
	b_mersamatruh = ca_town_2
	b_mersamatruh = ca_wall_q_1
	b_mersamatruh = castle_tower_1
	b_mersamatruh = castle_smith_1
	b_mersamatruh = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_mersamatruh
}


# EDITMOD 936
936.1.1 = {
	b_sollum = castle
	b_sollum = ca_barracks_1
	b_sollum = ca_barracks_2
	b_sollum = ca_wall_1
	b_sollum = ca_wall_2
	b_sollum = ca_keep_1
	b_sollum = ca_keep_2
	b_sollum = ca_militia_barracks_1
	b_sollum = ca_militia_barracks_2
	b_sollum = ca_training_grounds_1
	b_sollum = ca_training_grounds_2
	b_sollum = ca_stable_1
	b_sollum = ca_stable_2
	b_sollum = ca_town_1
	b_sollum = ca_town_2
	b_sollum = ca_wall_q_1
	b_sollum = castle_tower_1
	b_sollum = castle_smith_1
	b_sollum = stone_mine_1
	b_mersamatruh = castle
	b_mersamatruh = ca_barracks_1
	b_mersamatruh = ca_barracks_2
	b_mersamatruh = ca_wall_1
	b_mersamatruh = ca_wall_2
	b_mersamatruh = ca_keep_1
	b_mersamatruh = ca_keep_2
	b_mersamatruh = ca_militia_barracks_1
	b_mersamatruh = ca_militia_barracks_2
	b_mersamatruh = ca_training_grounds_1
	b_mersamatruh = ca_training_grounds_2
	b_mersamatruh = ca_stable_1
	b_mersamatruh = ca_stable_2
	b_mersamatruh = ca_town_1
	b_mersamatruh = ca_town_2
	b_mersamatruh = ca_wall_q_1
	b_mersamatruh = castle_tower_1
	b_mersamatruh = castle_smith_1
	b_mersamatruh = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_mersamatruh
}


# EDITMOD 1066
1066.1.1 = {
	b_sollum = castle
	b_sollum = ca_barracks_1
	b_sollum = ca_barracks_2
	b_sollum = ca_barracks_3
	b_sollum = ca_wall_1
	b_sollum = ca_wall_2
	b_sollum = ca_keep_1
	b_sollum = ca_keep_2
	b_sollum = ca_keep_3
	b_sollum = ca_militia_barracks_1
	b_sollum = ca_militia_barracks_2
	b_sollum = ca_militia_barracks_3
	b_sollum = ca_training_grounds_1
	b_sollum = ca_training_grounds_2
	b_sollum = ca_stable_1
	b_sollum = ca_stable_2
	b_sollum = ca_stable_3
	b_sollum = ca_town_1
	b_sollum = ca_town_2
	b_sollum = ca_town_3
	b_sollum = ca_wall_q_1
	b_sollum = ca_wall_q_2
	b_sollum = castle_tower_1
	b_sollum = castle_tower_2
	b_sollum = castle_smith_1
	b_sollum = castle_smith_2
	b_sollum = stone_mine_1
	b_mersamatruh = castle
	b_mersamatruh = ca_barracks_1
	b_mersamatruh = ca_barracks_2
	b_mersamatruh = ca_barracks_3
	b_mersamatruh = ca_wall_1
	b_mersamatruh = ca_wall_2
	b_mersamatruh = ca_keep_1
	b_mersamatruh = ca_keep_2
	b_mersamatruh = ca_keep_3
	b_mersamatruh = ca_militia_barracks_1
	b_mersamatruh = ca_militia_barracks_2
	b_mersamatruh = ca_militia_barracks_3
	b_mersamatruh = ca_training_grounds_1
	b_mersamatruh = ca_training_grounds_2
	b_mersamatruh = ca_stable_1
	b_mersamatruh = ca_stable_2
	b_mersamatruh = ca_stable_3
	b_mersamatruh = ca_town_1
	b_mersamatruh = ca_town_2
	b_mersamatruh = ca_town_3
	b_mersamatruh = ca_wall_q_1
	b_mersamatruh = ca_wall_q_2
	b_mersamatruh = castle_tower_1
	b_mersamatruh = castle_tower_2
	b_mersamatruh = castle_smith_1
	b_mersamatruh = castle_smith_2
	b_mersamatruh = stone_mine_1
	b_sidibarrani = castle
	b_sidibarrani = ca_barracks_1
	b_sidibarrani = ca_barracks_2
	b_sidibarrani = ca_barracks_3
	b_sidibarrani = ca_wall_1
	b_sidibarrani = ca_wall_2
	b_sidibarrani = ca_keep_1
	b_sidibarrani = ca_keep_2
	b_sidibarrani = ca_keep_3
	b_sidibarrani = ca_militia_barracks_1
	b_sidibarrani = ca_militia_barracks_2
	b_sidibarrani = ca_militia_barracks_3
	b_sidibarrani = ca_training_grounds_1
	b_sidibarrani = ca_training_grounds_2
	b_sidibarrani = ca_stable_1
	b_sidibarrani = ca_stable_2
	b_sidibarrani = ca_stable_3
	b_sidibarrani = ca_town_1
	b_sidibarrani = ca_town_2
	b_sidibarrani = ca_town_3
	b_sidibarrani = ca_wall_q_1
	b_sidibarrani = ca_wall_q_2
	b_sidibarrani = castle_tower_1
	b_sidibarrani = castle_tower_2
	b_sidibarrani = castle_smith_1
	b_sidibarrani = castle_smith_2
	b_sidibarrani = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_mersamatruh
	remove_settlement = b_sidibarrani
}
