# -*- ck2.history.provinces -*-

# 337 - Consenza # Tarsia

# County Title
title = c_consenza

# Settlements
max_settlements = 3 #old 5
b_tarsia_calabria = castle
b_cosenza = city
#b_rossano = temple
#b_corgiliano = castle
#b_laino = castle
#b_castrovillari = city

# Misc
culture = greek
religion = orthodox
terrain = hills

# History
399.1.1 = {
	religion = hellenic_pagan
	culture = roman_greek
}
601.1.1 = {
	religion = orthodox
	culture = greek
}
# EDITMOD 1066
1066.1.1 = {
	b_tarsia_calabria = castle
	b_tarsia_calabria = ca_barracks_1
	b_tarsia_calabria = ca_barracks_2
	b_tarsia_calabria = ca_barracks_3
	b_tarsia_calabria = ca_wall_1
	b_tarsia_calabria = ca_wall_2
	b_tarsia_calabria = ca_keep_1
	b_tarsia_calabria = ca_keep_2
	b_tarsia_calabria = ca_keep_3
	b_tarsia_calabria = ca_militia_barracks_1
	b_tarsia_calabria = ca_militia_barracks_2
	b_tarsia_calabria = ca_militia_barracks_3
	b_tarsia_calabria = ca_training_grounds_1
	b_tarsia_calabria = ca_training_grounds_2
	b_tarsia_calabria = ca_stable_1
	b_tarsia_calabria = ca_stable_2
	b_tarsia_calabria = ca_stable_3
	b_tarsia_calabria = ca_town_1
	b_tarsia_calabria = ca_town_2
	b_tarsia_calabria = ca_town_3
	b_tarsia_calabria = ca_wall_q_1
	b_tarsia_calabria = ca_wall_q_2
	b_tarsia_calabria = castle_tower_1
	b_tarsia_calabria = castle_tower_2
	b_tarsia_calabria = castle_smith_1
	b_tarsia_calabria = castle_smith_2
	b_tarsia_calabria = stone_mine_1
	b_corgiliano = castle
	b_corgiliano = ca_barracks_1
	b_corgiliano = ca_barracks_2
	b_corgiliano = ca_barracks_3
	b_corgiliano = ca_wall_1
	b_corgiliano = ca_wall_2
	b_corgiliano = ca_keep_1
	b_corgiliano = ca_keep_2
	b_corgiliano = ca_keep_3
	b_corgiliano = ca_militia_barracks_1
	b_corgiliano = ca_militia_barracks_2
	b_corgiliano = ca_militia_barracks_3
	b_corgiliano = ca_training_grounds_1
	b_corgiliano = ca_training_grounds_2
	b_corgiliano = ca_stable_1
	b_corgiliano = ca_stable_2
	b_corgiliano = ca_stable_3
	b_corgiliano = ca_town_1
	b_corgiliano = ca_town_2
	b_corgiliano = ca_town_3
	b_corgiliano = ca_wall_q_1
	b_corgiliano = ca_wall_q_2
	b_corgiliano = castle_tower_1
	b_corgiliano = castle_tower_2
	b_corgiliano = castle_smith_1
	b_corgiliano = castle_smith_2
	b_corgiliano = stone_mine_1
	b_laino = castle
	b_laino = ca_barracks_1
	b_laino = ca_barracks_2
	b_laino = ca_barracks_3
	b_laino = ca_wall_1
	b_laino = ca_wall_2
	b_laino = ca_keep_1
	b_laino = ca_keep_2
	b_laino = ca_keep_3
	b_laino = ca_militia_barracks_1
	b_laino = ca_militia_barracks_2
	b_laino = ca_militia_barracks_3
	b_laino = ca_training_grounds_1
	b_laino = ca_training_grounds_2
	b_laino = ca_stable_1
	b_laino = ca_stable_2
	b_laino = ca_stable_3
	b_laino = ca_town_1
	b_laino = ca_town_2
	b_laino = ca_town_3
	b_laino = ca_wall_q_1
	b_laino = ca_wall_q_2
	b_laino = castle_tower_1
	b_laino = castle_tower_2
	b_laino = castle_smith_1
	b_laino = castle_smith_2
	b_laino = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_corgiliano
	remove_settlement = b_laino
}

1073.1.1 = { b_corgiliano = castle }
1085.1.1={ culture = sicilian }
1085.1.1={ religion = catholic }
1119.1.1 = { trade_post = b_visconti }
1227.1.1 = { b_laino = castle }
1318.7.27  = { trade_post = b_da_mare }

