# -*- ck2.history.provinces -*-

# 195 - Caceres

# County Title
title = c_caceres

# Settlements
max_settlements = 3 #old 3

b_talavera = castle
#b_alia = city
#b_oropesa = castle


# Misc
culture = andalusian_arabic
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman_spain
}
400.1.1 = {
	b_talavera = tribal
}
600.1.1 = {
	b_talavera = castle
}
601.1.1 = {
	religion = sunni
	culture = andalusian_arabic
}
# EDITMOD 867
867.1.1 = {
	b_talavera = castle
	b_talavera = ca_barracks_1
	b_talavera = ca_barracks_2
	b_talavera = ca_wall_1
	b_talavera = ca_wall_2
	b_talavera = ca_keep_1
	b_talavera = ca_keep_2
	b_talavera = ca_militia_barracks_1
	b_talavera = ca_militia_barracks_2
	b_talavera = ca_training_grounds_1
	b_talavera = ca_training_grounds_2
	b_talavera = ca_stable_1
	b_talavera = ca_stable_2
	b_talavera = ca_town_1
	b_talavera = ca_town_2
	b_talavera = ca_wall_q_1
	b_talavera = castle_tower_1
	b_talavera = castle_smith_1
	b_talavera = stone_mine_1
	b_oropesa = castle
	b_oropesa = ca_barracks_1
	b_oropesa = ca_barracks_2
	b_oropesa = ca_wall_1
	b_oropesa = ca_wall_2
	b_oropesa = ca_keep_1
	b_oropesa = ca_keep_2
	b_oropesa = ca_militia_barracks_1
	b_oropesa = ca_militia_barracks_2
	b_oropesa = ca_training_grounds_1
	b_oropesa = ca_training_grounds_2
	b_oropesa = ca_stable_1
	b_oropesa = ca_stable_2
	b_oropesa = ca_town_1
	b_oropesa = ca_town_2
	b_oropesa = ca_wall_q_1
	b_oropesa = castle_tower_1
	b_oropesa = castle_smith_1
	b_oropesa = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_oropesa
}

# EDITMOD 936
936.1.1 = {
	b_talavera = castle
	b_talavera = ca_barracks_1
	b_talavera = ca_barracks_2
	b_talavera = ca_wall_1
	b_talavera = ca_wall_2
	b_talavera = ca_keep_1
	b_talavera = ca_keep_2
	b_talavera = ca_militia_barracks_1
	b_talavera = ca_militia_barracks_2
	b_talavera = ca_training_grounds_1
	b_talavera = ca_training_grounds_2
	b_talavera = ca_stable_1
	b_talavera = ca_stable_2
	b_talavera = ca_town_1
	b_talavera = ca_town_2
	b_talavera = ca_wall_q_1
	b_talavera = castle_tower_1
	b_talavera = castle_smith_1
	b_talavera = stone_mine_1
	b_oropesa = castle
	b_oropesa = ca_barracks_1
	b_oropesa = ca_barracks_2
	b_oropesa = ca_wall_1
	b_oropesa = ca_wall_2
	b_oropesa = ca_keep_1
	b_oropesa = ca_keep_2
	b_oropesa = ca_militia_barracks_1
	b_oropesa = ca_militia_barracks_2
	b_oropesa = ca_training_grounds_1
	b_oropesa = ca_training_grounds_2
	b_oropesa = ca_stable_1
	b_oropesa = ca_stable_2
	b_oropesa = ca_town_1
	b_oropesa = ca_town_2
	b_oropesa = ca_wall_q_1
	b_oropesa = castle_tower_1
	b_oropesa = castle_smith_1
	b_oropesa = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_oropesa
}

# EDITMOD 1066
1066.1.1 = {
	b_talavera = castle
	b_talavera = ca_barracks_1
	b_talavera = ca_barracks_2
	b_talavera = ca_barracks_3
	b_talavera = ca_wall_1
	b_talavera = ca_wall_2
	b_talavera = ca_keep_1
	b_talavera = ca_keep_2
	b_talavera = ca_keep_3
	b_talavera = ca_militia_barracks_1
	b_talavera = ca_militia_barracks_2
	b_talavera = ca_militia_barracks_3
	b_talavera = ca_training_grounds_1
	b_talavera = ca_training_grounds_2
	b_talavera = ca_stable_1
	b_talavera = ca_stable_2
	b_talavera = ca_stable_3
	b_talavera = ca_town_1
	b_talavera = ca_town_2
	b_talavera = ca_town_3
	b_talavera = ca_wall_q_1
	b_talavera = ca_wall_q_2
	b_talavera = castle_tower_1
	b_talavera = castle_smith_1
	b_talavera = stone_mine_1
	b_oropesa = castle
	b_oropesa = ca_barracks_1
	b_oropesa = ca_barracks_2
	b_oropesa = ca_barracks_3
	b_oropesa = ca_wall_1
	b_oropesa = ca_wall_2
	b_oropesa = ca_keep_1
	b_oropesa = ca_keep_2
	b_oropesa = ca_keep_3
	b_oropesa = ca_militia_barracks_1
	b_oropesa = ca_militia_barracks_2
	b_oropesa = ca_militia_barracks_3
	b_oropesa = ca_training_grounds_1
	b_oropesa = ca_training_grounds_2
	b_oropesa = ca_stable_1
	b_oropesa = ca_stable_2
	b_oropesa = ca_stable_3
	b_oropesa = ca_town_1
	b_oropesa = ca_town_2
	b_oropesa = ca_town_3
	b_oropesa = ca_wall_q_1
	b_oropesa = ca_wall_q_2
	b_oropesa = castle_tower_1
	b_oropesa = castle_smith_1
	b_oropesa = stone_mine_1
	b_alia = castle
	b_alia = ca_barracks_1
	b_alia = ca_barracks_2
	b_alia = ca_barracks_3
	b_alia = ca_wall_1
	b_alia = ca_wall_2
	b_alia = ca_keep_1
	b_alia = ca_keep_2
	b_alia = ca_keep_3
	b_alia = ca_militia_barracks_1
	b_alia = ca_militia_barracks_2
	b_alia = ca_militia_barracks_3
	b_alia = ca_training_grounds_1
	b_alia = ca_training_grounds_2
	b_alia = ca_stable_1
	b_alia = ca_stable_2
	b_alia = ca_stable_3
	b_alia = ca_town_1
	b_alia = ca_town_2
	b_alia = ca_town_3
	b_alia = ca_wall_q_1
	b_alia = ca_wall_q_2
	b_alia = castle_tower_1
	b_alia = castle_smith_1
	b_alia = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_oropesa
	remove_settlement = b_alia
}

1244.4.23 = { culture = castillan }
1244.4.23 = { religion = catholic }
