# -*- ck2.history.provinces -*-

# 160 - Lisboa

# County Title
title = c_lisboa

# Settlements
max_settlements = 5
b_alenquer = castle
b_lisboa = city
b_sintra = temple
#b_mafra = castle
#b_lourinha = city

#b_vila_franca_de_xira = castle
#b_torres_vedras = castle
#b_cascais = castle
#b_cadaval = castle
#b_azambuja = castle

# Misc
culture = andalusian_arabic
religion = sunni

# History
1066.1.1 = {
	b_alenquer = castle
	b_alenquer = ca_barracks_1
	b_alenquer = ca_barracks_2
	b_alenquer = ca_barracks_3
	b_alenquer = ca_barracks_4
	b_alenquer = ca_wall_1
	b_alenquer = ca_wall_2
	b_alenquer = ca_wall_3
	b_alenquer = ca_wall_4
	b_alenquer = ca_keep_1
	b_alenquer = ca_keep_2
	b_alenquer = ca_keep_3
	b_alenquer = ca_keep_4
	b_alenquer = ca_militia_barracks_1
	b_alenquer = ca_militia_barracks_2
	b_alenquer = ca_militia_barracks_3
	b_alenquer = ca_militia_barracks_4
	b_alenquer = ca_training_grounds_1
	b_alenquer = ca_training_grounds_2
	b_alenquer = ca_stable_1
	b_alenquer = ca_stable_2
	b_alenquer = ca_stable_3
	b_alenquer = ca_stable_4
	b_alenquer = ca_town_1
	b_alenquer = ca_town_2
	b_alenquer = ca_town_3
	b_alenquer = ca_town_4
	b_azambuja = castle
	b_azambuja = ca_barracks_1
	b_azambuja = ca_barracks_2
	b_azambuja = ca_barracks_3
	b_azambuja = ca_barracks_4
	b_azambuja = ca_wall_1
	b_azambuja = ca_wall_2
	b_azambuja = ca_wall_3
	b_azambuja = ca_wall_4
	b_azambuja = ca_keep_1
	b_azambuja = ca_keep_2
	b_azambuja = ca_keep_3
	b_azambuja = ca_keep_4
	b_azambuja = ca_militia_barracks_1
	b_azambuja = ca_militia_barracks_2
	b_azambuja = ca_militia_barracks_3
	b_azambuja = ca_militia_barracks_4
	b_azambuja = ca_training_grounds_1
	b_azambuja = ca_training_grounds_2
	b_azambuja = ca_stable_1
	b_azambuja = ca_stable_2
	b_azambuja = ca_stable_3
	b_azambuja = ca_stable_4
	b_azambuja = ca_town_1
	b_azambuja = ca_town_2
	b_azambuja = ca_town_3
	b_azambuja = ca_town_4
}

1121.1.1 = { trade_post = b_spinola }
1150.1.1 = { culture = portuguese }
1150.1.1 = { religion = catholic }
