# -*- ck2.history.provinces -*-

# 178 - La Mancha

# County Title
title = c_la_mancha

# Settlements
max_settlements = 4
b_ucles = castle
#b_alarcon = castle
b_tarancon = city
b_sanclemente = temple
#b_laspedroneras = castle
#b_motadelcuervo = castle

culture = andalusian_arabic
religion = sunni

# History
1066.1.1 = {
	b_ucles = castle
	b_ucles = ca_barracks_1
	b_ucles = ca_barracks_2
	b_ucles = ca_barracks_3
	b_ucles = ca_barracks_4
	b_ucles = ca_wall_1
	b_ucles = ca_wall_2
	b_ucles = ca_wall_3
	b_ucles = ca_wall_4
	b_ucles = ca_keep_1
	b_ucles = ca_keep_2
	b_ucles = ca_keep_3
	b_ucles = ca_keep_4
	b_ucles = ca_militia_barracks_1
	b_ucles = ca_militia_barracks_2
	b_ucles = ca_militia_barracks_3
	b_ucles = ca_militia_barracks_4
	b_ucles = ca_training_grounds_1
	b_ucles = ca_training_grounds_2
	b_ucles = ca_stable_1
	b_ucles = ca_stable_2
	b_ucles = ca_stable_3
	b_ucles = ca_stable_4
	b_ucles = ca_town_1
	b_ucles = ca_town_2
	b_ucles = ca_town_3
	b_ucles = ca_town_4
	b_motadelcuervo = castle
	b_motadelcuervo = ca_barracks_1
	b_motadelcuervo = ca_barracks_2
	b_motadelcuervo = ca_barracks_3
	b_motadelcuervo = ca_barracks_4
	b_motadelcuervo = ca_wall_1
	b_motadelcuervo = ca_wall_2
	b_motadelcuervo = ca_wall_3
	b_motadelcuervo = ca_wall_4
	b_motadelcuervo = ca_keep_1
	b_motadelcuervo = ca_keep_2
	b_motadelcuervo = ca_keep_3
	b_motadelcuervo = ca_keep_4
	b_motadelcuervo = ca_militia_barracks_1
	b_motadelcuervo = ca_militia_barracks_2
	b_motadelcuervo = ca_militia_barracks_3
	b_motadelcuervo = ca_militia_barracks_4
	b_motadelcuervo = ca_training_grounds_1
	b_motadelcuervo = ca_training_grounds_2
	b_motadelcuervo = ca_stable_1
	b_motadelcuervo = ca_stable_2
	b_motadelcuervo = ca_stable_3
	b_motadelcuervo = ca_stable_4
	b_motadelcuervo = ca_town_1
	b_motadelcuervo = ca_town_2
	b_motadelcuervo = ca_town_3
	b_motadelcuervo = ca_town_4
}

1235.1.1 = { culture = castillan }
1235.1.1 = { religion = catholic }

