# -*- ck2.history.provinces -*-

# 200 - Soria

# County Title
title = c_soria

# Settlements
max_settlements = 4
b_gormaz = castle
b_soria = city
b_osma = temple
#b_medinaceli = castle
#b_almazan = city
#b_huerta = temple

culture = castillan
religion = catholic

# History

867.1.1 = { 
	b_gormaz = ca_keep_1
	b_gormaz = ca_stable_1
	b_gormaz = ca_militia_barracks_1
	b_gormaz = ca_wall_1
	b_gormaz = ca_wall_2
}


1066.1.1 = {
	b_gormaz = castle
	b_gormaz = ca_barracks_1
	b_gormaz = ca_barracks_2
	b_gormaz = ca_barracks_3
	b_gormaz = ca_barracks_4
	b_gormaz = ca_wall_1
	b_gormaz = ca_wall_2
	b_gormaz = ca_wall_3
	b_gormaz = ca_wall_4
	b_gormaz = ca_keep_1
	b_gormaz = ca_keep_2
	b_gormaz = ca_keep_3
	b_gormaz = ca_keep_4
	b_gormaz = ca_militia_barracks_1
	b_gormaz = ca_militia_barracks_2
	b_gormaz = ca_militia_barracks_3
	b_gormaz = ca_militia_barracks_4
	b_gormaz = ca_training_grounds_1
	b_gormaz = ca_training_grounds_2
	b_gormaz = ca_stable_1
	b_gormaz = ca_stable_2
	b_gormaz = ca_stable_3
	b_gormaz = ca_stable_4
	b_gormaz = ca_town_1
	b_gormaz = ca_town_2
	b_gormaz = ca_town_3
	b_gormaz = ca_town_4
	b_medinaceli = castle
	b_medinaceli = ca_barracks_1
	b_medinaceli = ca_barracks_2
	b_medinaceli = ca_barracks_3
	b_medinaceli = ca_barracks_4
	b_medinaceli = ca_wall_1
	b_medinaceli = ca_wall_2
	b_medinaceli = ca_wall_3
	b_medinaceli = ca_wall_4
	b_medinaceli = ca_keep_1
	b_medinaceli = ca_keep_2
	b_medinaceli = ca_keep_3
	b_medinaceli = ca_keep_4
	b_medinaceli = ca_militia_barracks_1
	b_medinaceli = ca_militia_barracks_2
	b_medinaceli = ca_militia_barracks_3
	b_medinaceli = ca_militia_barracks_4
	b_medinaceli = ca_training_grounds_1
	b_medinaceli = ca_training_grounds_2
	b_medinaceli = ca_stable_1
	b_medinaceli = ca_stable_2
	b_medinaceli = ca_stable_3
	b_medinaceli = ca_stable_4
	b_medinaceli = ca_town_1
	b_medinaceli = ca_town_2
	b_medinaceli = ca_town_3
	b_medinaceli = ca_town_4
}
