# -*- ck2.history.provinces -*-

# 819 - Bizerte

# County Title
title = c_bizerte

# Settlements
max_settlements = 5

b_bizerte = castle
b_tunbeja = temple
b_tabarqa = city

#b_marsaalkharaz = castle #Marsa al-Kharaz

#b_jendouba = city
b_ghezala = castle
#b_almatin = castle
#b_manziljamal = castle
#b_tamra = castle
#b_netza = castle

# Misc
culture = sanhaja
religion = sunni

# History

1057.1.1 = { b_bizerte = tribal }
1066.1.1 = {
	b_bizerte = castle
	b_bizerte = ca_barracks_1
	b_bizerte = ca_barracks_2
	b_bizerte = ca_barracks_3
	b_bizerte = ca_barracks_4
	b_bizerte = ca_wall_1
	b_bizerte = ca_wall_2
	b_bizerte = ca_wall_3
	b_bizerte = ca_wall_4
	b_bizerte = ca_keep_1
	b_bizerte = ca_keep_2
	b_bizerte = ca_keep_3
	b_bizerte = ca_keep_4
	b_bizerte = ca_militia_barracks_1
	b_bizerte = ca_militia_barracks_2
	b_bizerte = ca_militia_barracks_3
	b_bizerte = ca_militia_barracks_4
	b_bizerte = ca_training_grounds_1
	b_bizerte = ca_training_grounds_2
	b_bizerte = ca_stable_1
	b_bizerte = ca_stable_2
	b_bizerte = ca_stable_3
	b_bizerte = ca_stable_4
	b_bizerte = ca_town_1
	b_bizerte = ca_town_2
	b_bizerte = ca_town_3
	b_bizerte = ca_town_4
	b_ghezala = castle
	b_ghezala = ca_barracks_1
	b_ghezala = ca_barracks_2
	b_ghezala = ca_barracks_3
	b_ghezala = ca_barracks_4
	b_ghezala = ca_wall_1
	b_ghezala = ca_wall_2
	b_ghezala = ca_wall_3
	b_ghezala = ca_wall_4
	b_ghezala = ca_keep_1
	b_ghezala = ca_keep_2
	b_ghezala = ca_keep_3
	b_ghezala = ca_keep_4
	b_ghezala = ca_militia_barracks_1
	b_ghezala = ca_militia_barracks_2
	b_ghezala = ca_militia_barracks_3
	b_ghezala = ca_militia_barracks_4
	b_ghezala = ca_training_grounds_1
	b_ghezala = ca_training_grounds_2
	b_ghezala = ca_stable_1
	b_ghezala = ca_stable_2
	b_ghezala = ca_stable_3
	b_ghezala = ca_stable_4
	b_ghezala = ca_town_1
	b_ghezala = ca_town_2
	b_ghezala = ca_town_3
	b_ghezala = ca_town_4
	b_netza = castle
	b_netza = ca_barracks_1
	b_netza = ca_barracks_2
	b_netza = ca_barracks_3
	b_netza = ca_barracks_4
	b_netza = ca_wall_1
	b_netza = ca_wall_2
	b_netza = ca_wall_3
	b_netza = ca_wall_4
	b_netza = ca_keep_1
	b_netza = ca_keep_2
	b_netza = ca_keep_3
	b_netza = ca_keep_4
	b_netza = ca_militia_barracks_1
	b_netza = ca_militia_barracks_2
	b_netza = ca_militia_barracks_3
	b_netza = ca_militia_barracks_4
	b_netza = ca_training_grounds_1
	b_netza = ca_training_grounds_2
	b_netza = ca_stable_1
	b_netza = ca_stable_2
	b_netza = ca_stable_3
	b_netza = ca_stable_4
	b_netza = ca_town_1
	b_netza = ca_town_2
	b_netza = ca_town_3
	b_netza = ca_town_4
}

1066.1.1 = { b_bizerte = castle }
1187.1.1 = { b_marsaalkharaz = castle }

