# -*- ck2.history.provinces -*-

# 2231 - Kuffa

# County Title
title = c_kuffa

# Settlements
max_settlements = 4 #old 3

b_kuffa1 = castle
b_kuffa2 = temple #was city
#b_kuffa3 = city

#b_kuffa4 = castle
#b_kuffa5 = temple
#b_kuffa6 = city
#b_kuffa7 = castle

# Misc
culture = levantine_arabic
religion = sunni
terrain = marsh
# History
200.1.1 = {
	religion = zoroastrian
	culture = kurdish
}
601.1.1 = {
	religion = sunni
	culture = levantine_arabic
}
850.1.1 = { religion = shiite}


# EDITMOD 867
867.1.1 = {
	b_kuffa1 = castle
	b_kuffa1 = ca_barracks_1
	b_kuffa1 = ca_barracks_2
	b_kuffa1 = ca_wall_1
	b_kuffa1 = ca_wall_2
	b_kuffa1 = ca_keep_1
	b_kuffa1 = ca_keep_2
	b_kuffa1 = ca_militia_barracks_1
	b_kuffa1 = ca_militia_barracks_2
	b_kuffa1 = ca_training_grounds_1
	b_kuffa1 = ca_training_grounds_2
	b_kuffa1 = ca_stable_1
	b_kuffa1 = ca_stable_2
	b_kuffa1 = ca_town_1
	b_kuffa1 = ca_town_2
	b_kuffa1 = ca_wall_q_1
	b_kuffa1 = castle_tower_1
	b_kuffa1 = castle_smith_1
	b_kuffa1 = stone_mine_1
	b_kuffa3 = castle
	b_kuffa3 = ca_barracks_1
	b_kuffa3 = ca_barracks_2
	b_kuffa3 = ca_wall_1
	b_kuffa3 = ca_wall_2
	b_kuffa3 = ca_keep_1
	b_kuffa3 = ca_keep_2
	b_kuffa3 = ca_militia_barracks_1
	b_kuffa3 = ca_militia_barracks_2
	b_kuffa3 = ca_training_grounds_1
	b_kuffa3 = ca_training_grounds_2
	b_kuffa3 = ca_stable_1
	b_kuffa3 = ca_stable_2
	b_kuffa3 = ca_town_1
	b_kuffa3 = ca_town_2
	b_kuffa3 = ca_wall_q_1
	b_kuffa3 = castle_tower_1
	b_kuffa3 = castle_smith_1
	b_kuffa3 = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_kuffa3
}


# EDITMOD 936
936.1.1 = {
	b_kuffa1 = castle
	b_kuffa1 = ca_barracks_1
	b_kuffa1 = ca_barracks_2
	b_kuffa1 = ca_wall_1
	b_kuffa1 = ca_wall_2
	b_kuffa1 = ca_keep_1
	b_kuffa1 = ca_keep_2
	b_kuffa1 = ca_militia_barracks_1
	b_kuffa1 = ca_militia_barracks_2
	b_kuffa1 = ca_training_grounds_1
	b_kuffa1 = ca_training_grounds_2
	b_kuffa1 = ca_stable_1
	b_kuffa1 = ca_stable_2
	b_kuffa1 = ca_town_1
	b_kuffa1 = ca_town_2
	b_kuffa1 = ca_wall_q_1
	b_kuffa1 = castle_tower_1
	b_kuffa1 = castle_smith_1
	b_kuffa1 = stone_mine_1
	b_kuffa3 = castle
	b_kuffa3 = ca_barracks_1
	b_kuffa3 = ca_barracks_2
	b_kuffa3 = ca_wall_1
	b_kuffa3 = ca_wall_2
	b_kuffa3 = ca_keep_1
	b_kuffa3 = ca_keep_2
	b_kuffa3 = ca_militia_barracks_1
	b_kuffa3 = ca_militia_barracks_2
	b_kuffa3 = ca_training_grounds_1
	b_kuffa3 = ca_training_grounds_2
	b_kuffa3 = ca_stable_1
	b_kuffa3 = ca_stable_2
	b_kuffa3 = ca_town_1
	b_kuffa3 = ca_town_2
	b_kuffa3 = ca_wall_q_1
	b_kuffa3 = castle_tower_1
	b_kuffa3 = castle_smith_1
	b_kuffa3 = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_kuffa3
}


# EDITMOD 1066
1066.1.1 = {
	b_kuffa1 = castle
	b_kuffa1 = ca_barracks_1
	b_kuffa1 = ca_barracks_2
	b_kuffa1 = ca_barracks_3
	b_kuffa1 = ca_wall_1
	b_kuffa1 = ca_wall_2
	b_kuffa1 = ca_keep_1
	b_kuffa1 = ca_keep_2
	b_kuffa1 = ca_keep_3
	b_kuffa1 = ca_militia_barracks_1
	b_kuffa1 = ca_militia_barracks_2
	b_kuffa1 = ca_militia_barracks_3
	b_kuffa1 = ca_training_grounds_1
	b_kuffa1 = ca_training_grounds_2
	b_kuffa1 = ca_stable_1
	b_kuffa1 = ca_stable_2
	b_kuffa1 = ca_stable_3
	b_kuffa1 = ca_town_1
	b_kuffa1 = ca_town_2
	b_kuffa1 = ca_town_3
	b_kuffa1 = ca_wall_q_1
	b_kuffa1 = ca_wall_q_2
	b_kuffa1 = castle_tower_1
	b_kuffa1 = castle_smith_1
	b_kuffa1 = stone_mine_1
	b_kuffa3 = castle
	b_kuffa3 = ca_barracks_1
	b_kuffa3 = ca_barracks_2
	b_kuffa3 = ca_barracks_3
	b_kuffa3 = ca_wall_1
	b_kuffa3 = ca_wall_2
	b_kuffa3 = ca_keep_1
	b_kuffa3 = ca_keep_2
	b_kuffa3 = ca_keep_3
	b_kuffa3 = ca_militia_barracks_1
	b_kuffa3 = ca_militia_barracks_2
	b_kuffa3 = ca_militia_barracks_3
	b_kuffa3 = ca_training_grounds_1
	b_kuffa3 = ca_training_grounds_2
	b_kuffa3 = ca_stable_1
	b_kuffa3 = ca_stable_2
	b_kuffa3 = ca_stable_3
	b_kuffa3 = ca_town_1
	b_kuffa3 = ca_town_2
	b_kuffa3 = ca_town_3
	b_kuffa3 = ca_wall_q_1
	b_kuffa3 = ca_wall_q_2
	b_kuffa3 = castle_tower_1
	b_kuffa3 = castle_smith_1
	b_kuffa3 = stone_mine_1
	b_al_nadjaf4 = castle
	b_al_nadjaf4 = ca_barracks_1
	b_al_nadjaf4 = ca_barracks_2
	b_al_nadjaf4 = ca_barracks_3
	b_al_nadjaf4 = ca_wall_1
	b_al_nadjaf4 = ca_wall_2
	b_al_nadjaf4 = ca_keep_1
	b_al_nadjaf4 = ca_keep_2
	b_al_nadjaf4 = ca_keep_3
	b_al_nadjaf4 = ca_militia_barracks_1
	b_al_nadjaf4 = ca_militia_barracks_2
	b_al_nadjaf4 = ca_militia_barracks_3
	b_al_nadjaf4 = ca_training_grounds_1
	b_al_nadjaf4 = ca_training_grounds_2
	b_al_nadjaf4 = ca_stable_1
	b_al_nadjaf4 = ca_stable_2
	b_al_nadjaf4 = ca_stable_3
	b_al_nadjaf4 = ca_town_1
	b_al_nadjaf4 = ca_town_2
	b_al_nadjaf4 = ca_town_3
	b_al_nadjaf4 = ca_wall_q_1
	b_al_nadjaf4 = ca_wall_q_2
	b_al_nadjaf4 = castle_tower_1
	b_al_nadjaf4 = castle_smith_1
	b_al_nadjaf4 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_kuffa3
	remove_settlement = b_al_nadjaf4
}
