# -*- ck2.history.provinces -*-

# 730 - Palmyra

# County Title
title = c_palmyra

# Settlements
max_settlements = 5

b_baalshamin = castle
b_arak = city
b_palmyra = temple
#b_fakhraldinalmaani = castle
#b_qasralhayralsharqi = castle
#b_alsukhnah = city





# Misc
culture = levantine_arabic
religion = sunni

# History

1066.1.1 = {
	b_baalshamin = castle
	b_baalshamin = ca_barracks_1
	b_baalshamin = ca_barracks_2
	b_baalshamin = ca_barracks_3
	b_baalshamin = ca_wall_1
	b_baalshamin = ca_wall_2
	b_baalshamin = ca_keep_1
	b_baalshamin = ca_keep_2
	b_baalshamin = ca_keep_3
	b_baalshamin = ca_militia_barracks_1
	b_baalshamin = ca_militia_barracks_2
	b_baalshamin = ca_militia_barracks_3
	b_baalshamin = ca_training_grounds_1
	b_baalshamin = ca_training_grounds_2
	b_baalshamin = ca_stable_1
	b_baalshamin = ca_stable_2
	b_baalshamin = ca_stable_3
	b_baalshamin = ca_town_1
	b_baalshamin = ca_town_2
	b_baalshamin = ca_town_3
	b_baalshamin = ca_wall_q_1
	b_baalshamin = ca_wall_q_2
	b_baalshamin = castle_tower_1
	b_baalshamin = castle_tower_2
	b_baalshamin = castle_smith_1
	b_baalshamin = castle_smith_2
	b_baalshamin = stone_mine_1
	b_fakhraldinalmaani = castle
	b_fakhraldinalmaani = ca_barracks_1
	b_fakhraldinalmaani = ca_barracks_2
	b_fakhraldinalmaani = ca_barracks_3
	b_fakhraldinalmaani = ca_wall_1
	b_fakhraldinalmaani = ca_wall_2
	b_fakhraldinalmaani = ca_keep_1
	b_fakhraldinalmaani = ca_keep_2
	b_fakhraldinalmaani = ca_keep_3
	b_fakhraldinalmaani = ca_militia_barracks_1
	b_fakhraldinalmaani = ca_militia_barracks_2
	b_fakhraldinalmaani = ca_militia_barracks_3
	b_fakhraldinalmaani = ca_training_grounds_1
	b_fakhraldinalmaani = ca_training_grounds_2
	b_fakhraldinalmaani = ca_stable_1
	b_fakhraldinalmaani = ca_stable_2
	b_fakhraldinalmaani = ca_stable_3
	b_fakhraldinalmaani = ca_town_1
	b_fakhraldinalmaani = ca_town_2
	b_fakhraldinalmaani = ca_town_3
	b_fakhraldinalmaani = ca_wall_q_1
	b_fakhraldinalmaani = ca_wall_q_2
	b_fakhraldinalmaani = castle_tower_1
	b_fakhraldinalmaani = castle_tower_2
	b_fakhraldinalmaani = castle_smith_1
	b_fakhraldinalmaani = castle_smith_2
	b_fakhraldinalmaani = stone_mine_1
	b_qasralhayralsharqi = castle
	b_qasralhayralsharqi = ca_barracks_1
	b_qasralhayralsharqi = ca_barracks_2
	b_qasralhayralsharqi = ca_barracks_3
	b_qasralhayralsharqi = ca_wall_1
	b_qasralhayralsharqi = ca_wall_2
	b_qasralhayralsharqi = ca_keep_1
	b_qasralhayralsharqi = ca_keep_2
	b_qasralhayralsharqi = ca_keep_3
	b_qasralhayralsharqi = ca_militia_barracks_1
	b_qasralhayralsharqi = ca_militia_barracks_2
	b_qasralhayralsharqi = ca_militia_barracks_3
	b_qasralhayralsharqi = ca_training_grounds_1
	b_qasralhayralsharqi = ca_training_grounds_2
	b_qasralhayralsharqi = ca_stable_1
	b_qasralhayralsharqi = ca_stable_2
	b_qasralhayralsharqi = ca_stable_3
	b_qasralhayralsharqi = ca_town_1
	b_qasralhayralsharqi = ca_town_2
	b_qasralhayralsharqi = ca_town_3
	b_qasralhayralsharqi = ca_wall_q_1
	b_qasralhayralsharqi = ca_wall_q_2
	b_qasralhayralsharqi = castle_tower_1
	b_qasralhayralsharqi = castle_tower_2
	b_qasralhayralsharqi = castle_smith_1
	b_qasralhayralsharqi = castle_smith_2
	b_qasralhayralsharqi = stone_mine_1
}

1312.1.1 = { remove_settlement = b_arak culture = bedouin_arabic } #Tribalisation/Nomadization of Palmyra and Salamiyya
1312.1.1 = { b_baalshamin = tribal } #Tribalisation/Nomadization of Palmyra and Salamiyya
