# -*- ck2.history.provinces -*-

# 649 - Basra

# County Title
title = c_basra

# Settlements
max_settlements = 5 #old 4
b_qalatbasra = castle
b_basra = city
b_almukhtara = castle
b_alubulla = city

culture = bedouin_arabic
religion = sunni

# History
850.1.1 = { religion = shiite}
# EDITMOD 867
867.1.1 = {
	b_qalatbasra = castle
	b_qalatbasra = ca_barracks_1
	b_qalatbasra = ca_barracks_2
	b_qalatbasra = ca_wall_1
	b_qalatbasra = ca_wall_2
	b_qalatbasra = ca_keep_1
	b_qalatbasra = ca_keep_2
	b_qalatbasra = ca_militia_barracks_1
	b_qalatbasra = ca_militia_barracks_2
	b_qalatbasra = ca_training_grounds_1
	b_qalatbasra = ca_training_grounds_2
	b_qalatbasra = ca_stable_1
	b_qalatbasra = ca_stable_2
	b_qalatbasra = ca_town_1
	b_qalatbasra = ca_town_2
	b_qalatbasra = ca_wall_q_1
	b_qalatbasra = castle_tower_1
	b_qalatbasra = castle_smith_1
	b_qalatbasra = stone_mine_1
	b_almukhtara = castle
	b_almukhtara = ca_barracks_1
	b_almukhtara = ca_barracks_2
	b_almukhtara = ca_wall_1
	b_almukhtara = ca_wall_2
	b_almukhtara = ca_keep_1
	b_almukhtara = ca_keep_2
	b_almukhtara = ca_militia_barracks_1
	b_almukhtara = ca_militia_barracks_2
	b_almukhtara = ca_training_grounds_1
	b_almukhtara = ca_training_grounds_2
	b_almukhtara = ca_stable_1
	b_almukhtara = ca_stable_2
	b_almukhtara = ca_town_1
	b_almukhtara = ca_town_2
	b_almukhtara = ca_wall_q_1
	b_almukhtara = castle_tower_1
	b_almukhtara = castle_smith_1
	b_almukhtara = stone_mine_1
	b_basra5 = castle
	b_basra5 = ca_barracks_1
	b_basra5 = ca_barracks_2
	b_basra5 = ca_wall_1
	b_basra5 = ca_wall_2
	b_basra5 = ca_keep_1
	b_basra5 = ca_keep_2
	b_basra5 = ca_militia_barracks_1
	b_basra5 = ca_militia_barracks_2
	b_basra5 = ca_training_grounds_1
	b_basra5 = ca_training_grounds_2
	b_basra5 = ca_stable_1
	b_basra5 = ca_stable_2
	b_basra5 = ca_town_1
	b_basra5 = ca_town_2
	b_basra5 = ca_wall_q_1
	b_basra5 = castle_tower_1
	b_basra5 = castle_smith_1
	b_basra5 = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_basra5
}

1258.2.20 = { remove_settlement = b_alubulla }
