# -*- ck2.history.provinces -*-

# 181 - Cordoba

# County Title
title = c_cordoba

# Settlements
max_settlements = 7 #old 7
b_cordoba = castle
b_alcolea = castle
b_cabra = temple
b_lucena = city
b_baena = temple
b_montilla = city
#b_madinat_al_zahra = city

#b_iznajar = castle
#b_guadalcazar = castle
#b_adamuz = city


#b_belalcazar = castle
#b_canetedelastorres = castle

# Misc
culture = andalusian_arabic
religion = sunni

# History
769.1.1 = { build_wonder = wonder_mosque_cordoba set_wonder_stage = 1 }
# EDITMOD 867
867.1.1 = {
	b_cordoba = castle
	b_cordoba = ca_barracks_1
	b_cordoba = ca_barracks_2
	b_cordoba = ca_wall_1
	b_cordoba = ca_wall_2
	b_cordoba = ca_keep_1
	b_cordoba = ca_keep_2
	b_cordoba = ca_militia_barracks_1
	b_cordoba = ca_militia_barracks_2
	b_cordoba = ca_training_grounds_1
	b_cordoba = ca_training_grounds_2
	b_cordoba = ca_stable_1
	b_cordoba = ca_stable_2
	b_cordoba = ca_town_1
	b_cordoba = ca_town_2
	b_cordoba = ca_wall_q_1
	b_cordoba = castle_tower_1
	b_cordoba = castle_smith_1
	b_cordoba = stone_mine_1
	b_alcolea = castle
	b_alcolea = ca_barracks_1
	b_alcolea = ca_barracks_2
	b_alcolea = ca_wall_1
	b_alcolea = ca_wall_2
	b_alcolea = ca_keep_1
	b_alcolea = ca_keep_2
	b_alcolea = ca_militia_barracks_1
	b_alcolea = ca_militia_barracks_2
	b_alcolea = ca_training_grounds_1
	b_alcolea = ca_training_grounds_2
	b_alcolea = ca_stable_1
	b_alcolea = ca_stable_2
	b_alcolea = ca_town_1
	b_alcolea = ca_town_2
	b_alcolea = ca_wall_q_1
	b_alcolea = castle_tower_1
	b_alcolea = castle_smith_1
	b_alcolea = stone_mine_1
	b_madinat_al_zahra = castle
	b_madinat_al_zahra = ca_barracks_1
	b_madinat_al_zahra = ca_barracks_2
	b_madinat_al_zahra = ca_wall_1
	b_madinat_al_zahra = ca_wall_2
	b_madinat_al_zahra = ca_keep_1
	b_madinat_al_zahra = ca_keep_2
	b_madinat_al_zahra = ca_militia_barracks_1
	b_madinat_al_zahra = ca_militia_barracks_2
	b_madinat_al_zahra = ca_training_grounds_1
	b_madinat_al_zahra = ca_training_grounds_2
	b_madinat_al_zahra = ca_stable_1
	b_madinat_al_zahra = ca_stable_2
	b_madinat_al_zahra = ca_town_1
	b_madinat_al_zahra = ca_town_2
	b_madinat_al_zahra = ca_wall_q_1
	b_madinat_al_zahra = castle_tower_1
	b_madinat_al_zahra = castle_smith_1
	b_madinat_al_zahra = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_madinat_al_zahra
}

# EDITMOD 936
936.1.1 = {
	b_cordoba = castle
	b_cordoba = ca_barracks_1
	b_cordoba = ca_barracks_2
	b_cordoba = ca_wall_1
	b_cordoba = ca_wall_2
	b_cordoba = ca_keep_1
	b_cordoba = ca_keep_2
	b_cordoba = ca_militia_barracks_1
	b_cordoba = ca_militia_barracks_2
	b_cordoba = ca_training_grounds_1
	b_cordoba = ca_training_grounds_2
	b_cordoba = ca_stable_1
	b_cordoba = ca_stable_2
	b_cordoba = ca_town_1
	b_cordoba = ca_town_2
	b_cordoba = ca_wall_q_1
	b_cordoba = castle_tower_1
	b_cordoba = castle_smith_1
	b_cordoba = stone_mine_1
	b_alcolea = castle
	b_alcolea = ca_barracks_1
	b_alcolea = ca_barracks_2
	b_alcolea = ca_wall_1
	b_alcolea = ca_wall_2
	b_alcolea = ca_keep_1
	b_alcolea = ca_keep_2
	b_alcolea = ca_militia_barracks_1
	b_alcolea = ca_militia_barracks_2
	b_alcolea = ca_training_grounds_1
	b_alcolea = ca_training_grounds_2
	b_alcolea = ca_stable_1
	b_alcolea = ca_stable_2
	b_alcolea = ca_town_1
	b_alcolea = ca_town_2
	b_alcolea = ca_wall_q_1
	b_alcolea = castle_tower_1
	b_alcolea = castle_smith_1
	b_alcolea = stone_mine_1
	b_madinat_al_zahra = castle
	b_madinat_al_zahra = ca_barracks_1
	b_madinat_al_zahra = ca_barracks_2
	b_madinat_al_zahra = ca_wall_1
	b_madinat_al_zahra = ca_wall_2
	b_madinat_al_zahra = ca_keep_1
	b_madinat_al_zahra = ca_keep_2
	b_madinat_al_zahra = ca_militia_barracks_1
	b_madinat_al_zahra = ca_militia_barracks_2
	b_madinat_al_zahra = ca_training_grounds_1
	b_madinat_al_zahra = ca_training_grounds_2
	b_madinat_al_zahra = ca_stable_1
	b_madinat_al_zahra = ca_stable_2
	b_madinat_al_zahra = ca_town_1
	b_madinat_al_zahra = ca_town_2
	b_madinat_al_zahra = ca_wall_q_1
	b_madinat_al_zahra = castle_tower_1
	b_madinat_al_zahra = castle_smith_1
	b_madinat_al_zahra = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_madinat_al_zahra
}

940.1.1 = { b_madinat_al_zahra = city }
1010.1.1 = { remove_settlement = b_madinat_al_zahra }
# EDITMOD 1066
1066.1.1 = {
	b_cordoba = castle
	b_cordoba = ca_barracks_1
	b_cordoba = ca_barracks_2
	b_cordoba = ca_barracks_3
	b_cordoba = ca_wall_1
	b_cordoba = ca_wall_2
	b_cordoba = ca_keep_1
	b_cordoba = ca_keep_2
	b_cordoba = ca_keep_3
	b_cordoba = ca_militia_barracks_1
	b_cordoba = ca_militia_barracks_2
	b_cordoba = ca_militia_barracks_3
	b_cordoba = ca_training_grounds_1
	b_cordoba = ca_training_grounds_2
	b_cordoba = ca_stable_1
	b_cordoba = ca_stable_2
	b_cordoba = ca_stable_3
	b_cordoba = ca_town_1
	b_cordoba = ca_town_2
	b_cordoba = ca_town_3
	b_cordoba = ca_wall_q_1
	b_cordoba = ca_wall_q_2
	b_cordoba = castle_tower_1
	b_cordoba = castle_smith_1
	b_cordoba = stone_mine_1
	b_alcolea = castle
	b_alcolea = ca_barracks_1
	b_alcolea = ca_barracks_2
	b_alcolea = ca_barracks_3
	b_alcolea = ca_wall_1
	b_alcolea = ca_wall_2
	b_alcolea = ca_keep_1
	b_alcolea = ca_keep_2
	b_alcolea = ca_keep_3
	b_alcolea = ca_militia_barracks_1
	b_alcolea = ca_militia_barracks_2
	b_alcolea = ca_militia_barracks_3
	b_alcolea = ca_training_grounds_1
	b_alcolea = ca_training_grounds_2
	b_alcolea = ca_stable_1
	b_alcolea = ca_stable_2
	b_alcolea = ca_stable_3
	b_alcolea = ca_town_1
	b_alcolea = ca_town_2
	b_alcolea = ca_town_3
	b_alcolea = ca_wall_q_1
	b_alcolea = ca_wall_q_2
	b_alcolea = castle_tower_1
	b_alcolea = castle_smith_1
	b_alcolea = stone_mine_1
	b_madinat_al_zahra = castle
	b_madinat_al_zahra = ca_barracks_1
	b_madinat_al_zahra = ca_barracks_2
	b_madinat_al_zahra = ca_barracks_3
	b_madinat_al_zahra = ca_wall_1
	b_madinat_al_zahra = ca_wall_2
	b_madinat_al_zahra = ca_keep_1
	b_madinat_al_zahra = ca_keep_2
	b_madinat_al_zahra = ca_keep_3
	b_madinat_al_zahra = ca_militia_barracks_1
	b_madinat_al_zahra = ca_militia_barracks_2
	b_madinat_al_zahra = ca_militia_barracks_3
	b_madinat_al_zahra = ca_training_grounds_1
	b_madinat_al_zahra = ca_training_grounds_2
	b_madinat_al_zahra = ca_stable_1
	b_madinat_al_zahra = ca_stable_2
