# -*- ck2.history.provinces -*-

# 346 - Bari # Conversano

# County Title
title = c_bari

# Settlements
max_settlements = 4 #old 5

b_bari = castle
b_conversano = castle
#b_acquviva = castle
#b_molfetta = castle
b_monopoli = city

# Misc
culture = greek
religion = orthodox
terrain = plains

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman_greek
}
601.1.1 = {
	religion = orthodox
	culture = greek
}
# EDITMOD 1066
1066.1.1 = {
	b_bari = castle
	b_bari = ca_barracks_1
	b_bari = ca_barracks_2
	b_bari = ca_barracks_3
	b_bari = ca_wall_1
	b_bari = ca_wall_2
	b_bari = ca_keep_1
	b_bari = ca_keep_2
	b_bari = ca_keep_3
	b_bari = ca_militia_barracks_1
	b_bari = ca_militia_barracks_2
	b_bari = ca_militia_barracks_3
	b_bari = ca_training_grounds_1
	b_bari = ca_training_grounds_2
	b_bari = ca_stable_1
	b_bari = ca_stable_2
	b_bari = ca_stable_3
	b_bari = ca_town_1
	b_bari = ca_town_2
	b_bari = ca_town_3
	b_bari = ca_wall_q_1
	b_bari = ca_wall_q_2
	b_bari = castle_tower_1
	b_bari = castle_tower_2
	b_bari = castle_smith_1
	b_bari = castle_smith_2
	b_bari = stone_mine_1
	b_conversano = castle
	b_conversano = ca_barracks_1
	b_conversano = ca_barracks_2
	b_conversano = ca_barracks_3
	b_conversano = ca_wall_1
	b_conversano = ca_wall_2
	b_conversano = ca_keep_1
	b_conversano = ca_keep_2
	b_conversano = ca_keep_3
	b_conversano = ca_militia_barracks_1
	b_conversano = ca_militia_barracks_2
	b_conversano = ca_militia_barracks_3
	b_conversano = ca_training_grounds_1
	b_conversano = ca_training_grounds_2
	b_conversano = ca_stable_1
	b_conversano = ca_stable_2
	b_conversano = ca_stable_3
	b_conversano = ca_town_1
	b_conversano = ca_town_2
	b_conversano = ca_town_3
	b_conversano = ca_wall_q_1
	b_conversano = ca_wall_q_2
	b_conversano = castle_tower_1
	b_conversano = castle_tower_2
	b_conversano = castle_smith_1
	b_conversano = castle_smith_2
	b_conversano = stone_mine_1
	#b_molfetta = castle
	#b_molfetta = ca_barracks_1
	#b_molfetta = ca_barracks_2
	#b_molfetta = ca_barracks_3
	#b_molfetta = ca_wall_1
	#b_molfetta = ca_wall_2
	#b_molfetta = ca_keep_1
	#b_molfetta = ca_keep_2
	#b_molfetta = ca_keep_3
	#b_molfetta = ca_militia_barracks_1
	#b_molfetta = ca_militia_barracks_2
	#b_molfetta = ca_militia_barracks_3
	#b_molfetta = ca_training_grounds_1
	#b_molfetta = ca_training_grounds_2
	#b_molfetta = ca_stable_1
	#b_molfetta = ca_stable_2
	#b_molfetta = ca_stable_3
	#b_molfetta = ca_town_1
	#b_molfetta = ca_town_2
	#b_molfetta = ca_town_3
	#b_molfetta = ca_wall_q_1
	#b_molfetta = ca_wall_q_2
	#b_molfetta = castle_tower_1
	#b_molfetta = castle_tower_2
	#b_molfetta = castle_smith_1
	#b_molfetta = castle_smith_2
	#b_molfetta = stone_mine_1
	b_acquviva = castle
	b_acquviva = ca_barracks_1
	b_acquviva = ca_barracks_2
	b_acquviva = ca_barracks_3
	b_acquviva = ca_wall_1
	b_acquviva = ca_wall_2
	b_acquviva = ca_keep_1
	b_acquviva = ca_keep_2
	b_acquviva = ca_keep_3
	b_acquviva = ca_militia_barracks_1
	b_acquviva = ca_militia_barracks_2
	b_acquviva = ca_militia_barracks_3
	b_acquviva = ca_training_grounds_1
	b_acquviva = ca_training_grounds_2
	b_acquviva = ca_stable_1
	b_acquviva = ca_stable_2
	b_acquviva = ca_stable_3
	b_acquviva = ca_town_1
	b_acquviva = ca_town_2
	b_acquviva = ca_town_3
	b_acquviva = ca_wall_q_1
	b_acquviva = ca_wall_q_2
	b_acquviva = castle_tower_1
	b_acquviva = castle_tower_2
	b_acquviva = castle_smith_1
	b_acquviva = castle_smith_2
	b_acquviva = stone_mine_1
	b_bari6 = castle
	b_bari6 = ca_barracks_1
	b_bari6 = ca_barracks_2
	b_bari6 = ca_barracks_3
	b_bari6 = ca_wall_1
	b_bari6 = ca_wall_2
	b_bari6 = ca_keep_1
	b_bari6 = ca_keep_2
	b_bari6 = ca_keep_3
	b_bari6 = ca_militia_barracks_1
	b_bari6 = ca_militia_barracks_2
	b_bari6 = ca_militia_barracks_3
	b_bari6 = ca_training_grounds_1
	b_bari6 = ca_training_grounds_2
	b_bari6 = ca_stable_1
	b_bari6 = ca_stable_2
	b_bari6 = ca_stable_3
	b_bari6 = ca_town_1
	b_bari6 = ca_town_2
	b_bari6 = ca_town_3
	b_bari6 = ca_wall_q_1
	b_bari6 = ca_wall_q_2
	b_bari6 = castle_tower_1
	b_bari6 = castle_tower_2
	b_bari6 = castle_smith_1
	b_bari6 = castle_smith_2
	b_bari6 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_acquviva
	remove_settlement = b_bari6
}

1091.1.1 = { religion = catholic }
1126.1.1 = { b_acquviva = castle }
1140.1.1 = { culture = neapolitan }
